Design Study 1
Scenarios/Iterations:, 152
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152
Material,,N/A,,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330039,0.331702,0.331371,0.333572,0.332387,0.331657,0.332576,0.328520,0.332276,0.331211,0.332836,0.331805,0.332139,0.332923,0.332566,0.329230,0.332432,0.332137,0.332080,0.331454,0.332423,0.332569,0.332057,0.331844,0.332341,0.327378,0.332123,0.332234,0.331802,0.331928,0.332304,0.332255,0.332626,0.333231,0.332214,0.333707,0.330021,0.331512,0.329234,0.332141,0.332998,0.332342,0.331385,0.331849,0.330554,0.332494,0.332172,0.331095,0.332559,0.331933,0.332239,0.332472,0.330550,0.329912,0.333134,0.333303,0.331971,0.329963,0.331551,0.331426,0.331972,0.331378,0.332486,0.332949,0.332285,0.331632,0.331560,0.332272,0.331247,0.331127,0.331933,0.332435,0.331957,0.329164,0.333480,0.332019,0.334273,0.330766,0.330876,0.332153,0.332496,0.333718,0.330773,0.329180,0.329961,0.331510,0.331684,0.330155,0.331368,0.331314,0.331061,0.330449,0.331993,0.331938,0.331850,0.332321,0.333048,0.331859,0.331831,0.332505,0.333829,0.332514,0.330131,0.332019,0.331864,0.333713,0.329082,0.332521,0.329605,0.333761,0.331309,0.332572,0.331174,0.333438,0.332397,0.333910,0.329966,0.330952,0.333810,0.332843,0.331887,0.332588,0.331752,0.331711,0.331756,0.331244,0.331641,0.331808,0.333923,0.332478,0.328667,0.332780,0.331120,0.332601,0.331540,0.332905,0.332090,0.332299,0.332314,0.334015,0.332066,0.331230,0.332186,0.332582,0.332421,0.332571,0.331925,0.331952,0.331629,0.332749,0.332393,0.332078,0.331691
CSB Offset,,N/A,0.299991,0.352162,0.352170,0.310797,0.351856,0.358132,0.320363,0.362884,0.308276,0.334045,0.352543,0.329618,0.322647,0.296150,0.343445,0.349630,0.342630,0.341373,0.358794,0.340450,0.314799,0.314367,0.333859,0.340426,0.349765,0.366683,0.318205,0.335659,0.354904,0.347422,0.324613,0.327785,0.330298,0.303609,0.341065,0.292288,0.361750,0.337909,0.348828,0.324187,0.333018,0.332378,0.321397,0.320470,0.319649,0.356439,0.353642,0.353397,0.344661,0.324133,0.312900,0.334836,0.336709,0.361645,0.294119,0.318815,0.341268,0.342029,0.345855,0.357481,0.328519,0.358276,0.316835,0.340555,0.301376,0.320765,0.347087,0.312182,0.346910,0.333640,0.356360,0.326370,0.356224,0.361895,0.327731,0.347665,0.319713,0.315679,0.342384,0.361895,0.319230,0.346710,0.342258,0.360398,0.354846,0.341772,0.328496,0.370913,0.345006,0.333725,0.328312,0.334838,0.350112,0.357169,0.351957,0.326671,0.338989,0.328772,0.360037,0.346149,0.289526,0.315658,0.324147,0.368129,0.334413,0.306589,0.350932,0.326113,0.361201,0.330461,0.366240,0.294078,0.367691,0.335735,0.318060,0.322723,0.344652,0.338836,0.277664,0.306592,0.328273,0.322482,0.324242,0.338048,0.322458,0.344677,0.344193,0.343210,0.306029,0.356862,0.393430,0.337511,0.334694,0.334961,0.355618,0.316900,0.321230,0.298201,0.317169,0.322623,0.330227,0.352046,0.359098,0.315117,0.340474,0.317787,0.319412,0.323629,0.331711,0.354345,0.315204,0.344826,0.347688
SS Z,,N/A,0.008965,0.010229,0.010321,0.009821,0.010241,0.010665,0.009407,0.010599,0.009431,0.009414,0.010364,0.009873,0.009844,0.009358,0.010289,0.010409,0.009872,0.009685,0.010814,0.009426,0.009525,0.009441,0.009380,0.009720,0.010219,0.011890,0.009340,0.009449,0.010236,0.010024,0.009385,0.009299,0.009600,0.009585,0.009467,0.009386,0.010187,0.009579,0.010438,0.009308,0.009825,0.009587,0.009516,0.009441,0.010166,0.010442,0.010601,0.010150,0.010081,0.009502,0.009472,0.009400,0.009735,0.010837,0.009526,0.009571,0.009923,0.009928,0.010146,0.010897,0.009693,0.010443,0.009436,0.009845,0.010080,0.009348,0.009894,0.009768,0.009803,0.009510,0.010606,0.009282,0.010379,0.010507,0.009307,0.010004,0.009905,0.009988,0.009739,0.010731,0.009510,0.010194,0.009907,0.010708,0.010480,0.009574,0.009327,0.010840,0.010423,0.009627,0.009651,0.010309,0.010120,0.010499,0.010169,0.010095,0.010137,0.009922,0.010566,0.010373,0.009415,0.009409,0.010100,0.011202,0.009642,0.009547,0.010270,0.009281,0.010573,0.009599,0.011120,0.009820,0.011036,0.009436,0.009512,0.009281,0.010061,0.010059,0.009769,0.009340,0.009604,0.009274,0.009775,0.009563,0.009449,0.009667,0.009647,0.009867,0.009603,0.010641,0.011827,0.009552,0.009482,0.010129,0.010332,0.009637,0.009450,0.009836,0.009355,0.009747,0.009549,0.010220,0.010783,0.009370,0.009549,0.009408,0.009362,0.009369,0.009445,0.010590,0.009506,0.009891,0.009793
SS Thickness,,N/A,0.004645,0.002517,0.003716,0.002580,0.002982,0.002496,0.004313,0.003637,0.003197,0.003605,0.003797,0.003767,0.003465,0.002914,0.002818,0.003639,0.003074,0.002915,0.002414,0.003370,0.003385,0.004418,0.003731,0.002582,0.003660,0.002573,0.004167,0.003986,0.003723,0.002603,0.004056,0.004011,0.003798,0.002809,0.003371,0.002559,0.003537,0.003174,0.002924,0.004144,0.002963,0.003688,0.003750,0.004103,0.003520,0.003851,0.002685,0.002892,0.004094,0.003033,0.003856,0.003694,0.003738,0.003568,0.002736,0.003595,0.003054,0.003535,0.003997,0.002781,0.002911,0.003169,0.003068,0.003997,0.002440,0.004131,0.002652,0.002887,0.003530,0.003839,0.002871,0.004011,0.003699,0.003880,0.004203,0.002486,0.003737,0.003599,0.003745,0.002829,0.004495,0.004505,0.002886,0.003130,0.002975,0.003518,0.003933,0.003333,0.002630,0.003907,0.004023,0.002826,0.003607,0.003436,0.002694,0.002403,0.004111,0.002514,0.003331,0.002788,0.002469,0.002932,0.003701,0.002526,0.002924,0.004136,0.003553,0.004000,0.003011,0.003297,0.002839,0.002570,0.003629,0.003705,0.003790,0.004413,0.003501,0.003774,0.002249,0.002794,0.004124,0.004271,0.002899,0.003745,0.003520,0.002777,0.003625,0.003156,0.003219,0.003557,0.003798,0.003576,0.003780,0.002685,0.002795,0.002793,0.003031,0.002706,0.004576,0.003307,0.003540,0.003181,0.002683,0.002950,0.003341,0.004377,0.004304,0.003057,0.003316,0.003891,0.002920,0.002663,0.002943
CS Thickness,,N/A,0.001438,0.004229,0.005037,0.002375,0.003365,0.004913,0.002395,0.005481,0.001636,0.002920,0.004961,0.002847,0.002374,0.001417,0.004104,0.005078,0.003345,0.002894,0.005061,0.002882,0.001833,0.002862,0.002990,0.003103,0.004247,0.007964,0.002725,0.002789,0.003467,0.003953,0.002945,0.002782,0.003213,0.000814,0.002506,0.000738,0.004017,0.003287,0.004942,0.003010,0.002940,0.002722,0.003094,0.003174,0.004168,0.004189,0.004887,0.004143,0.003236,0.002043,0.002298,0.002823,0.004124,0.006453,0.001498,0.001753,0.003859,0.004495,0.004630,0.005841,0.002607,0.004554,0.001572,0.003352,0.002436,0.003111,0.003750,0.001882,0.003169,0.003548,0.004724,0.002583,0.004604,0.005268,0.002299,0.003919,0.001779,0.003690,0.003682,0.004528,0.003935,0.003372,0.003953,0.005655,0.005187,0.002782,0.002917,0.005189,0.004781,0.003781,0.004220,0.004548,0.003829,0.004237,0.003827,0.003523,0.003198,0.002889,0.005516,0.004283,0.000781,0.001369,0.003572,0.005848,0.003023,0.001753,0.004749,0.002510,0.005184,0.001710,0.006537,0.002112,0.006510,0.002086,0.002425,0.002409,0.004817,0.005092,0.001190,0.001198,0.003413,0.002571,0.002393,0.002920,0.002531,0.003373,0.002722,0.003640,0.001377,0.004828,0.006211,0.002503,0.003425,0.003374,0.004175,0.001087,0.001908,0.002660,0.003370,0.001611,0.002624,0.004950,0.004805,0.001349,0.002622,0.003177,0.003350,0.002065,0.002615,0.004406,0.001684,0.003686,0.002864
TT Thickness,,N/A,0.003707,0.003239,0.005621,0.003681,0.004141,0.003487,0.004179,0.006126,0.003844,0.003677,0.004645,0.003156,0.003205,0.004277,0.003204,0.004398,0.003337,0.002599,0.003456,0.003611,0.003849,0.004310,0.004028,0.002284,0.004252,0.002483,0.004065,0.005337,0.006043,0.003050,0.003966,0.004332,0.004301,0.003532,0.003317,0.003992,0.005843,0.003396,0.002620,0.004512,0.002478,0.003705,0.003921,0.004218,0.003107,0.005941,0.003522,0.003928,0.007095,0.003336,0.004051,0.003921,0.004561,0.005597,0.004064,0.003559,0.003337,0.004317,0.006211,0.003300,0.003054,0.004685,0.003608,0.004438,0.002815,0.004488,0.003114,0.003064,0.004965,0.004411,0.004058,0.004233,0.005465,0.007465,0.005021,0.002872,0.003651,0.003284,0.004463,0.004733,0.005684,0.006086,0.002793,0.003567,0.003266,0.004304,0.004272,0.005725,0.002766,0.004570,0.005331,0.002388,0.004561,0.005048,0.003570,0.002825,0.004150,0.002408,0.004531,0.003312,0.004010,0.003551,0.002583,0.004285,0.002889,0.004401,0.003887,0.004183,0.003628,0.002808,0.003938,0.003575,0.005893,0.003512,0.004045,0.005066,0.004280,0.005467,0.004061,0.003921,0.005330,0.005017,0.002693,0.004158,0.003770,0.003002,0.005337,0.003486,0.004255,0.004511,0.008262,0.003153,0.004262,0.002975,0.004081,0.003028,0.003374,0.003485,0.005455,0.002939,0.003341,0.003819,0.004118,0.003528,0.003079,0.004508,0.004734,0.003467,0.003213,0.004678,0.003443,0.002776,0.003558
BB Thickness,,m,0.001042,0.002471,0.002918,0.00075381,0.001462,0.002201,0.001826,0.005685,0.001739,0.002855,0.00096284,0.003248,0.002765,0.001164,0.001349,0.005972,0.001747,0.002382,0.001819,0.003269,0.00204,0.002542,0.003385,0.002607,0.001499,0.004697,0.002506,0.003246,0.002227,0.002202,0.002895,0.002873,0.002238,0.001344,0.002901,0.00072211,0.004093,0.00257,0.004118,0.002973,0.001809,0.00213,0.003117,0.002973,0.003635,0.001779,0.001548,0.002668,0.001784,0.001895,0.002206,0.003165,0.00434,0.003387,0.001547,0.001981,0.001996,0.004382,0.002885,0.002227,0.001865,0.002103,0.001951,0.001599,0.002009,0.002723,0.002603,0.00227,0.002789,0.003707,0.001684,0.002555,0.002241,0.005467,0.002537,0.002221,0.001822,0.003428,0.004474,0.001481,0.004145,0.001013,0.003164,0.003797,0.003399,0.002528,0.002825,0.002899,0.002464,0.004285,0.003886,0.003514,0.001904,0.00157,0.00203,0.002091,0.00093167,0.00245,0.001624,0.001384,0.00070886,0.001833,0.004198,0.00133,0.002327,0.00098302,0.005368,0.002474,0.003731,0.002026,0.002111,0.00185,0.002137,0.002446,0.002411,0.002671,0.003971,0.003587,0.001016,0.001085,0.002516,0.002178,0.002619,0.002404,0.002623,0.002996,0.002558,0.002171,0.00030417,0.00105,0.004132,0.002729,0.003599,0.001488,0.002256,0.001534,0.002182,0.002104,0.003055,0.001243,0.002739,0.002358,0.001445,0.001777,0.002879,0.002999,0.003104,0.002309,0.002845,0.00092204,0.001653,0.002203,0.00256
HT Thickness,,m,0.003515,0.005179,0.008834,0.007419,0.005826,0.006355,0.006189,0.01033,0.005384,0.004706,0.007649,0.00449,0.004857,0.006564,0.005867,0.008952,0.004999,0.003999,0.006601,0.004067,0.004861,0.005022,0.0045,0.004031,0.006361,0.01439,0.005127,0.006283,0.007545,0.004706,0.004512,0.005017,0.006315,0.005729,0.003929,0.006549,0.00746,0.00439,0.008015,0.005423,0.004696,0.005381,0.005234,0.004842,0.008997,0.007847,0.006407,0.005285,0.009829,0.004659,0.005115,0.00433,0.006765,0.0106,0.006694,0.004541,0.005449,0.007101,0.00916,0.008121,0.004747,0.00632,0.004709,0.006785,0.008219,0.005748,0.004445,0.005811,0.006032,0.005738,0.006286,0.005074,0.007377,0.0114,0.005587,0.004647,0.004431,0.00819,0.005907,0.006632,0.007622,0.009232,0.005526,0.00806,0.007028,0.005149,0.005242,0.007916,0.007259,0.006126,0.007831,0.008161,0.006146,0.006914,0.005108,0.007136,0.006781,0.005416,0.00739,0.00577,0.006858,0.004828,0.007093,0.007842,0.0042,0.00683,0.007833,0.005039,0.006885,0.004136,0.008743,0.00813,0.009823,0.004215,0.004698,0.00552,0.007867,0.009139,0.008834,0.005487,0.007626,0.006513,0.005097,0.005552,0.004571,0.004041,0.006317,0.004903,0.006861,0.007199,0.01208,0.003822,0.005381,0.005356,0.005525,0.005149,0.004537,0.008492,0.007222,0.005323,0.003945,0.006421,0.00642,0.004825,0.003799,0.005154,0.005871,0.004358,0.0039,0.007355,0.005131,0.00443,0.004505
ST Thickness,,N/A,0.002559,0.005812,0.001589,0.002521,0.005489,0.005824,0.001673,0.002587,0.000873,0.002607,0.003082,0.002125,0.002017,0.000028,0.004411,0.002443,0.004788,0.004938,0.006002,0.003595,0.000914,0.000564,0.002901,0.005342,0.003651,0.005300,0.001369,0.002388,0.003577,0.005430,0.001787,0.002190,0.001380,0.002988,0.003980,0.001840,0.004005,0.003393,0.004378,0.001606,0.005229,0.002665,0.000731,0.000852,0.000727,0.003117,0.005094,0.004937,0.001305,0.003249,0.000782,0.003128,0.001611,0.001969,0.000282,0.001603,0.003659,0.001764,0.000777,0.005198,0.003947,0.004748,0.001839,0.002098,0.002638,0.000962,0.005163,0.002705,0.003284,0.001898,0.005266,0.002197,0.003125,0.002224,0.002405,0.005687,0.001483,0.000371,0.002871,0.005796,0.000018,0.001473,0.004104,0.004884,0.004835,0.003310,0.001988,0.005198,0.004556,0.001923,0.000312,0.003589,0.003712,0.004506,0.005567,0.003998,0.003368,0.004745,0.004226,0.004768,0.001551,0.002693,0.001845,0.006181,0.004308,0.001081,0.003037,0.002259,0.005496,0.003630,0.005261,0.000923,0.003233,0.003641,0.000861,0.001968,0.001737,0.000261,0.000138,0.001900,0.000471,0.001314,0.003686,0.002686,0.001595,0.004789,0.003102,0.004121,0.001151,0.004233,0.005275,0.003629,0.002154,0.004863,0.005402,0.004138,0.002971,0.000621,0.000183,0.003806,0.002422,0.003891,0.005945,0.002289,0.004057,0.000686,0.000746,0.002478,0.002765,0.003994,0.003153,0.005359,0.005172
DT Thickness,,m,0.001404,0.00032969,0.005533,0.002213,0.001178,0.00052593,0.004474,0.001584,0.003051,0.003557,0.00455,0.00052287,0.00049072,0.003403,0.002134,0.00057281,0.001593,0.00085354,0.000459,0.001512,0.002518,0.003544,0.001256,0.00026722,0.003635,0.00052333,0.00364,0.001233,0.002869,0.00067498,0.002637,0.002685,0.00505,0.00016509,0.001067,0.001219,0.00091126,0.002757,0.001042,0.003071,0.0003841,0.003761,0.003545,0.003552,0.003631,0.004236,0.001618,0.001337,0.005575,0.001836,0.003447,0.00075195,0.002996,0.004833,0.002129,0.001951,0.002685,0.003395,0.00621,0.001183,0.001445,0.002169,0.002225,0.00508,0.0006208,0.00436,0.00088884,0.00042619,0.002839,0.002862,0.001568,0.002967,0.004172,0.001598,0.001437,0.0002772,1.778e-05,0.003738,0.00063839,0.00114,0.002218,0.006641,0.001687,0.001089,0.001099,0.002876,0.003419,0.001166,0.001534,0.001666,0.004268,0.001591,0.003499,0.00288,0.00066827,0.001327,0.003748,0.00010128,0.003261,0.001751,0.001276,0.00159,0.001185,0.00086472,0.001483,0.004471,0.001175,0.002929,0.00031301,0.00076495,0.001526,0.002089,0.004273,0.001162,0.003044,0.001344,0.003972,0.00589,0.001624,0.002122,0.006017,0.004173,0.00033576,0.004018,0.003135,0.001109,0.002452,0.002332,0.00353,0.003293,0.00012469,0.00095328,0.002783,0.001011,0.00099807,5.359e-05,0.001541,0.002953,0.00372,0.001182,0.001908,0.002712,0.00073236,0.002193,0.00067132,0.002908,0.00352,0.00229,0.002318,0.003676,0.001335,0.000622,0.00046963
