Design Study 1
Scenarios/Iterations:, 158
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.328842,0.329663,0.328899,0.329496,0.328833,0.329856,0.329405,0.329113,0.328943,0.329483,0.329021,0.329995,0.329715,0.329293,0.328065,0.330154,0.328963,0.330276,0.329673,0.329699,0.329524,0.329614,0.329634,0.329694,0.330019,0.329423,0.329358,0.330344,0.330041,0.329663,0.329970,0.329420,0.328459,0.329308,0.330226,0.330147,0.329436,0.329689,0.329658,0.329356,0.329534,0.329730,0.329773,0.329748,0.329347,0.328710,0.329257,0.329175,0.333899,0.328903,0.329765,0.329272,0.329663,0.329477,0.329227,0.329364,0.329713,0.329477,0.329317,0.329384,0.329322,0.329398,0.329585,0.330284,0.329921,0.329128,0.329827,0.329743,0.329645,0.329138,0.329517,0.329480,0.329737,0.329368,0.329284,0.329747,0.329559,0.329801,0.329002,0.329919,0.329238,0.329033,0.329324,0.328554,0.329194,0.329283,0.329196,0.329163,0.330011,0.328970,0.329893,0.330175,0.330237,0.329679,0.329412,0.329704,0.330452,0.329517,0.329448,0.330543,0.328880,0.329778,0.329526,0.329306,0.329672,0.330303,0.330046,0.330131,0.330458,0.329655,0.328870,0.329844,0.330008,0.332555,0.329434,0.329077,0.329736,0.329553,0.329816,0.329782,0.329712,0.329455,0.329291,0.329825,0.329970,0.330174,0.329467,0.329371,0.328750,0.329627,0.329763,0.329118,0.330554,0.329581,0.328868,0.329629,0.330255,0.329216,0.329512,0.330142,0.329889,0.329433,0.329054,0.328605,0.328564,0.329253,0.329348,0.329727,0.329295,0.329926,0.329736,0.329095,0.329658,0.329303,0.329649,0.329667,0.329672,0.329602,0.329684
CSB Offset,,N/A,0.335204,0.345869,0.279328,0.337593,0.274504,0.349243,0.317502,0.352061,0.317952,0.315981,0.293795,0.347231,0.351467,0.346709,0.231819,0.339672,0.294991,0.351683,0.354782,0.318658,0.326793,0.359039,0.323374,0.347143,0.351085,0.357989,0.345168,0.322731,0.348182,0.356505,0.358932,0.318200,0.319176,0.330253,0.353486,0.340846,0.308970,0.354614,0.336254,0.296065,0.299830,0.344191,0.344959,0.311104,0.334573,0.248778,0.346174,0.294857,0.370533,0.296930,0.342884,0.322199,0.349698,0.302661,0.333681,0.322321,0.336867,0.363506,0.333893,0.321044,0.295148,0.329049,0.340340,0.336073,0.346231,0.341955,0.347062,0.320325,0.346946,0.276830,0.333409,0.349482,0.341771,0.291266,0.289760,0.349689,0.344706,0.322191,0.297088,0.350874,0.326279,0.328768,0.323801,0.265760,0.307070,0.285495,0.325471,0.285159,0.345383,0.348376,0.341043,0.336168,0.344234,0.307304,0.332467,0.348422,0.334546,0.305257,0.328112,0.349677,0.273816,0.350803,0.334241,0.295532,0.322281,0.339237,0.341338,0.322677,0.337644,0.319836,0.270380,0.339737,0.349191,0.360787,0.316851,0.332123,0.331093,0.303578,0.346817,0.348312,0.342502,0.335825,0.327327,0.346520,0.335026,0.363862,0.327419,0.328367,0.268755,0.340211,0.353420,0.332273,0.349697,0.352673,0.306541,0.344859,0.351207,0.325694,0.324786,0.350360,0.346805,0.287463,0.321781,0.320105,0.264292,0.329008,0.315120,0.345753,0.308710,0.330486,0.363132,0.290660,0.352041,0.328083,0.316336,0.372996,0.339379,0.325619,0.344322
SS Z,,N/A,0.009040,0.008585,0.008268,0.008940,0.009059,0.008538,0.008922,0.008716,0.008862,0.008849,0.008930,0.008422,0.008716,0.008320,0.008971,0.008640,0.008968,0.008411,0.008558,0.008896,0.008643,0.008678,0.008608,0.008707,0.008289,0.008597,0.008988,0.008879,0.008598,0.008413,0.008758,0.008838,0.008964,0.008898,0.008375,0.008567,0.008872,0.008413,0.008940,0.008447,0.008624,0.008559,0.008606,0.008503,0.009050,0.009336,0.008783,0.008969,0.008772,0.008933,0.008678,0.009028,0.008767,0.008917,0.008621,0.008680,0.008682,0.008771,0.008653,0.008765,0.008663,0.008925,0.008558,0.008638,0.008788,0.008861,0.008698,0.008871,0.008666,0.008820,0.008613,0.008321,0.008642,0.008854,0.008865,0.008609,0.008889,0.008581,0.009066,0.008820,0.009025,0.009027,0.008763,0.009605,0.008621,0.008895,0.009008,0.008883,0.008618,0.008651,0.008444,0.008556,0.008417,0.008884,0.008609,0.008732,0.008252,0.008286,0.008654,0.008390,0.009098,0.008563,0.008679,0.008740,0.008733,0.008596,0.008427,0.008554,0.008477,0.008819,0.009001,0.008645,0.008559,0.008693,0.008832,0.008660,0.008427,0.008603,0.008722,0.008542,0.008679,0.008556,0.009094,0.008602,0.008761,0.008792,0.008862,0.008997,0.008766,0.008710,0.008658,0.008817,0.008372,0.008816,0.008933,0.008617,0.008350,0.009033,0.008462,0.008342,0.008841,0.009069,0.008600,0.008902,0.009008,0.008833,0.008905,0.008833,0.008717,0.008598,0.008624,0.008903,0.008570,0.008721,0.008673,0.008710,0.008976,0.008536,0.008719
SS Thickness,,N/A,0.003461,0.002311,0.004112,0.001868,0.002505,0.002879,0.004244,0.002195,0.005165,0.002729,0.003001,0.002868,0.001801,0.001192,0.003003,0.003123,0.004179,0.004874,0.001698,0.004741,0.001983,0.003096,0.002934,0.003422,0.003968,0.002014,0.001763,0.007874,0.002682,0.002068,0.009616,0.002032,0.002223,0.002050,0.003427,0.004797,0.002488,0.001891,0.001895,0.002856,0.002158,0.002571,0.001960,0.003104,0.001649,0.002510,0.002029,0.001846,0.011468,0.006235,0.002426,0.002438,0.001351,0.003012,0.002867,0.002192,0.002515,0.001300,0.002182,0.003161,0.003076,0.002729,0.002219,0.004315,0.001886,0.002017,0.002152,0.009683,0.001911,0.002057,0.001955,0.002931,0.002792,0.002420,0.002173,0.002601,0.001918,0.002952,0.002228,0.001639,0.002114,0.001881,0.002284,0.002652,0.002253,0.002440,0.002200,0.001837,0.002763,0.001693,0.002072,0.003679,0.003160,0.003840,0.002839,0.002118,0.006439,0.003065,0.003064,0.005704,0.002741,0.002197,0.002776,0.002062,0.002678,0.003584,0.004329,0.004501,0.005129,0.003053,0.002394,0.003054,0.002721,0.008530,0.002411,0.002047,0.003401,0.002145,0.002859,0.002039,0.002684,0.002177,0.001512,0.002621,0.003086,0.005370,0.002583,0.002156,0.002696,0.002400,0.001704,0.003538,0.005200,0.002550,0.005408,0.002388,0.005320,0.002005,0.001366,0.005124,0.001709,0.003200,0.002574,0.002623,0.002475,0.005055,0.001642,0.001964,0.002150,0.003145,0.002973,0.002535,0.002003,0.002297,0.001913,0.002987,0.001876,0.002166,0.002291
CS Thickness,,N/A,0.002006,0.002352,0.002967,0.001921,0.001328,0.002853,0.002513,0.001538,0.002580,0.002243,0.001563,0.002514,0.001545,0.000395,0.001675,0.002609,0.001947,0.003225,0.001355,0.002896,0.001658,0.002537,0.002833,0.002844,0.002938,0.001550,0.001757,0.004537,0.002484,0.001697,0.007036,0.001297,0.001413,0.001996,0.002838,0.003561,0.001804,0.001659,0.001760,0.002317,0.001326,0.002068,0.001453,0.002419,0.001624,0.000859,0.001981,0.000987,0.009284,0.002534,0.002152,0.002046,0.001005,0.001935,0.002184,0.001498,0.002379,0.001125,0.001653,0.002385,0.002709,0.002184,0.001419,0.003849,0.001618,0.002085,0.001863,0.006796,0.001692,0.000736,0.001706,0.003094,0.002587,0.001284,0.001023,0.002234,0.001688,0.002677,0.001180,0.001483,0.001944,0.001529,0.001539,0.001355,0.001784,0.001433,0.001717,0.000626,0.002454,0.001562,0.002570,0.002820,0.002520,0.002849,0.002951,0.001843,0.006146,0.002721,0.002988,0.003075,0.001575,0.001892,0.002210,0.000975,0.002196,0.002695,0.003117,0.004358,0.004619,0.002618,0.000844,0.002986,0.002609,0.006176,0.001600,0.001449,0.003310,0.001393,0.002252,0.001756,0.002382,0.001708,0.001424,0.002578,0.003143,0.004175,0.002358,0.001777,0.001757,0.002163,0.001383,0.002444,0.002776,0.002041,0.002266,0.002016,0.003739,0.001593,0.000824,0.003741,0.001482,0.002186,0.002735,0.001555,0.001132,0.002850,0.001006,0.001647,0.001225,0.002759,0.002468,0.001327,0.001814,0.001637,0.001223,0.002179,0.001963,0.001999,0.002203
TT Thickness,,N/A,0.002973,0.002745,0.000846,0.002938,0.001679,0.002544,0.002660,0.002005,0.001585,0.002196,0.001254,0.002435,0.001383,0.001658,0.001370,0.002915,0.001536,0.002132,0.000643,0.001882,0.001484,0.001816,0.002169,0.001802,0.002364,0.001786,0.002629,0.002890,0.001668,0.001475,0.002438,0.001777,0.002262,0.002931,0.001704,0.003118,0.001975,0.000946,0.002356,0.000852,0.000571,0.003142,0.002339,0.000756,0.002388,0.000353,0.003776,0.001853,0.003031,0.001162,0.002625,0.002560,0.001847,0.001405,0.001035,0.001512,0.001838,0.001816,0.001743,0.001134,0.001158,0.002595,0.002738,0.002703,0.002474,0.003683,0.002165,0.001745,0.001140,0.000902,0.000805,0.002645,0.001871,0.001015,0.001348,0.002130,0.002297,0.000592,0.001956,0.002396,0.002632,0.002250,0.001861,0.001905,0.000294,0.000378,0.002315,0.001349,0.002005,0.005098,0.000301,0.000993,0.001908,0.002121,0.002773,0.001641,0.001941,0.001301,0.002809,0.001475,0.001710,0.001595,0.001291,0.000815,0.001525,0.002702,0.002838,0.001864,0.002046,0.001091,0.000579,0.002689,0.002233,0.003099,0.001959,0.001570,0.002334,0.000678,0.002916,0.001254,0.002166,0.001445,0.002271,0.002685,0.001811,0.002337,0.002757,0.002342,0.000851,0.002280,0.001165,0.002192,0.000737,0.002876,0.002005,0.003309,0.002151,0.002256,0.000838,0.002273,0.002588,0.001371,0.002711,0.002114,0.001353,0.001914,0.001707,0.002894,0.001075,0.001220,0.001740,0.000600,0.000712,0.001816,0.001433,0.002520,0.002782,0.000802,0.001878
BB Thickness,,m,0.002911,0.003022,0.00058123,0.006589,0.002068,0.002672,0.0025,0.003029,0.002167,0.002679,0.002274,0.002302,0.002062,0.002957,0.001319,0.00314,0.002077,0.001896,0.001472,0.002424,0.002526,0.002812,0.002245,0.002747,0.002186,0.00316,0.005744,0.003076,0.002199,0.002865,0.002729,0.002952,0.002717,0.006161,0.001275,0.004519,0.002684,0.002988,0.005193,0.00089997,0.002631,0.004025,0.002927,0.00087378,0.006261,0.001786,0.007014,0.002995,0.005002,0.001821,0.002885,0.003287,0.002689,0.002474,0.002849,0.002919,0.002066,0.005725,0.003042,0.002586,0.001493,0.002891,0.002986,0.002988,0.003578,0.008465,0.003116,0.002295,0.001878,0.002029,0.001595,0.002768,0.002382,0.002543,0.002235,0.002829,0.004584,0.001267,0.002629,0.004743,0.005705,0.004586,0.002883,0.001863,0.0015,0.002475,0.003335,0.002414,0.00241,0.009101,0.001857,0.001138,0.001649,0.002398,0.003084,0.002072,0.001785,0.00086922,0.003118,0.001005,0.001933,0.002857,0.00292,0.002601,0.00284,0.002921,0.003005,0.002084,0.002142,0.002487,0.002223,0.002949,0.00218,0.0047,0.002728,0.003024,0.002264,0.002521,0.003118,0.002693,0.002555,0.003336,0.006792,0.002876,0.002665,0.002922,0.003627,0.004104,0.001389,0.002735,0.002004,0.002607,0.00030775,0.002966,0.002136,0.00465,0.001939,0.004331,0.003083,0.002086,0.004555,0.002125,0.003095,0.002546,0.001857,0.002434,0.003452,0.00429,0.002809,0.001513,0.002799,0.002477,0.00189,0.002896,0.00284,0.002915,0.006604,0.002803,0.002136
HT Thickness,,m,0.00282,0.006078,0.005969,0.00308,0.002509,0.007146,0.003047,0.002678,0.001416,0.003019,0.001759,0.01061,0.002678,0.002472,0.002965,0.009325,0.001779,0.01039,0.002813,0.002357,0.002406,0.002371,0.005577,0.002334,0.01267,0.002456,0.004271,0.004627,0.005349,0.002442,0.001732,0.00243,0.003688,0.003082,0.009684,0.01038,0.002658,0.002165,0.003004,0.003658,0.0017,0.009445,0.002905,0.005075,0.003324,0.001439,0.006022,0.002274,0.004096,0.001043,0.005247,0.003588,0.002501,0.0021,0.001773,0.002166,0.004089,0.00265,0.002371,0.001666,0.004675,0.003636,0.006858,0.008876,0.002906,0.005278,0.002739,0.001346,0.002659,0.001781,0.00263,0.008726,0.00459,0.001873,0.00207,0.002894,0.003004,0.005078,0.002704,0.002868,0.003302,0.003281,0.002511,0.002765,0.002575,0.001579,0.003129,0.00194,0.00568,0.007451,0.002844,0.007494,0.01265,0.004837,0.006629,0.003018,0.01344,0.005321,0.007107,0.01012,0.002654,0.002521,0.002182,0.001667,0.002497,0.01014,0.01181,0.009363,0.01098,0.002145,0.001499,0.007178,0.006844,0.006075,0.002573,0.002245,0.007788,0.001856,0.005337,0.002415,0.004469,0.002197,0.002939,0.007024,0.004754,0.002832,0.003958,0.003063,0.002596,0.003032,0.002608,0.002255,0.009639,0.004158,0.002002,0.00785,0.01152,0.003063,0.001729,0.01092,0.003057,0.002448,0.005414,0.00276,0.002332,0.00179,0.002361,0.003853,0.001846,0.00613,0.002493,0.00154,0.002711,0.002435,0.002089,0.002766,0.003107,0.002154,0.003872
ST Thickness,,N/A,0.002906,0.000078,0.001400,0.000013,0.002997,0.000857,0.007028,0.004532,0.014140,0.002616,0.012972,0.000513,0.000969,0.003021,0.006167,0.003093,0.012752,0.001461,0.002152,0.012774,0.001749,0.011885,0.001977,0.012805,0.001127,0.003152,0.001340,0.011066,0.005770,0.008379,0.018714,0.002328,0.002589,0.000075,0.000210,0.004032,0.002240,0.004604,0.001392,0.001378,0.008126,0.001687,0.002656,0.001743,0.000940,0.016480,0.001081,0.000907,0.016474,0.017179,0.001641,0.002011,0.000159,0.012148,0.015060,0.004817,0.001447,0.001389,0.004511,0.015442,0.003070,0.002946,0.002727,0.004115,0.001398,0.000105,0.002551,0.021610,0.001056,0.003081,0.001207,0.000317,0.003252,0.009960,0.002977,0.006926,0.001835,0.002963,0.002393,0.001293,0.001114,0.001654,0.003000,0.004745,0.002937,0.015486,0.002111,0.001961,0.005590,0.000411,0.009382,0.001780,0.001426,0.008152,0.001755,0.001339,0.002481,0.000345,0.002508,0.000762,0.005838,0.002919,0.013189,0.007103,0.009728,0.004152,0.002407,0.003575,0.003002,0.015129,0.013919,0.002257,0.000244,0.011071,0.002985,0.005309,0.001489,0.005612,0.004569,0.002647,0.002826,0.006661,0.000369,0.000787,0.010668,0.012809,0.001747,0.001830,0.003500,0.001959,0.001376,0.009529,0.000394,0.003852,0.011176,0.001935,0.001647,0.001655,0.002140,0.001469,0.001339,0.013443,0.000687,0.004906,0.002884,0.013241,0.001451,0.001221,0.007297,0.002365,0.012586,0.014956,0.002365,0.004587,0.002263,0.010361,0.000519,0.010486,0.000756
