Design Study 1
Scenarios/Iterations:, 166
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166
Material,,N/A,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials
SSB Offset,,N/A,0.330039,0.329714,0.330461,0.330406,0.329820,0.330230,0.330028,0.330287,0.329946,0.329954,0.330341,0.329975,0.330430,0.330097,0.330321,0.329906,0.330619,0.330198,0.368648,0.329849,0.329745,0.330325,0.329695,0.330487,0.329967,0.330043,0.330448,0.329981,0.330349,0.330278,0.330042,0.330180,0.329829,0.330072,0.330680,0.370597,0.329790,0.329850,0.329697,0.329935,0.330396,0.329901,0.330403,0.329991,0.329943,0.330746,0.330235,0.329994,0.330211,0.330283,0.329950,0.330435,0.329925,0.330407,0.329790,0.329954,0.330261,0.330200,0.330192,0.330218,0.329865,0.329767,0.329985,0.329565,0.330438,0.368170,0.330163,0.330307,0.330165,0.330112,0.330060,0.330266,0.330194,0.330171,0.369563,0.330282,0.329946,0.329908,0.330300,0.329547,0.330223,0.330062,0.329927,0.330175,0.330156,0.330161,0.329934,0.330047,0.330451,0.330464,0.329920,0.329802,0.329847,0.330050,0.330076,0.329991,0.330302,0.330094,0.329899,0.330340,0.329867,0.329874,0.329717,0.330003,0.329866,0.330359,0.329863,0.329577,0.330050,0.329744,0.330245,0.329839,0.329817,0.330008,0.329976,0.330600,0.329748,0.330037,0.365518,0.329797,0.330200,0.330054,0.329974,0.330317,0.363816,0.329780,0.330329,0.329847,0.330384,0.330463,0.330241,0.329755,0.330309,0.330059,0.330166,0.329947,0.330099,0.329991,0.330145,0.329962,0.329702,0.329987,0.330360,0.329898,0.330123,0.330029,0.330025,0.330493,0.330320,0.330099,0.330035,0.330209,0.329781,0.329803,0.330286,0.330273,0.329523,0.329773,0.329778,0.330432,0.330583,0.329719,0.329906,0.329639,0.330297,0.330127,0.330015
CSB Offset,,N/A,0.299991,0.350455,0.349682,0.350145,0.299919,0.350354,0.300468,0.350534,0.300075,0.350546,0.350219,0.300322,0.300293,0.300397,0.299877,0.350008,0.350348,0.349854,0.349663,0.350152,0.300540,0.300429,0.349688,0.350307,0.300497,0.300583,0.350912,0.300622,0.350583,0.350096,0.349918,0.300307,0.300204,0.350513,0.350280,0.349918,0.350152,0.350105,0.300866,0.350034,0.350925,0.350510,0.349929,0.350523,0.299826,0.350945,0.350230,0.300220,0.349572,0.349983,0.349881,0.275984,0.300310,0.349669,0.299857,0.349807,0.301437,0.349728,0.350249,0.350699,0.300989,0.349568,0.350563,0.349583,0.350306,0.371176,0.300453,0.349796,0.300080,0.350523,0.350511,0.291499,0.349917,0.350445,0.349866,0.299619,0.349704,0.350791,0.349768,0.349598,0.349625,0.350234,0.350223,0.350219,0.350346,0.300224,0.349689,0.299444,0.349740,0.350561,0.349617,0.349634,0.300858,0.349999,0.350223,0.349220,0.300008,0.380005,0.299091,0.349985,0.350149,0.349608,0.349871,0.350076,0.350266,0.350455,0.350240,0.299615,0.350357,0.349312,0.350371,0.350051,0.349945,0.350048,0.349917,0.350503,0.300069,0.373204,0.350428,0.350345,0.300059,0.350824,0.367951,0.350093,0.350312,0.350872,0.299900,0.299511,0.350194,0.350112,0.349919,0.300432,0.350391,0.300558,0.299730,0.350421,0.349615,0.349781,0.350393,0.350283,0.299794,0.350594,0.350199,0.350399,0.349829,0.349872,0.349897,0.349873,0.350075,0.349817,0.349986,0.300567,0.350161,0.349633,0.300312,0.350093,0.299501,0.350236,0.350518,0.349748,0.349892,0.300665,0.350062,0.299983,0.350233,0.300166,0.350229
SS Z,,N/A,0.008965,0.009231,0.009467,0.008740,0.008507,0.009587,0.009876,0.009808,0.008904,0.009207,0.010407,0.009821,0.009663,0.009757,0.008409,0.009278,0.008735,0.009829,0.009362,0.009927,0.009362,0.008704,0.010066,0.008736,0.009587,0.009328,0.009203,0.008952,0.009642,0.009853,0.009053,0.008919,0.014332,0.010646,0.009614,0.008334,0.008488,0.009332,0.008893,0.009484,0.009945,0.009953,0.009634,0.009427,0.009482,0.009783,0.009366,0.009879,0.008686,0.009410,0.009069,0.010228,0.009012,0.008707,0.008819,0.009031,0.009381,0.017564,0.010392,0.010358,0.009159,0.009136,0.008226,0.010419,0.010112,0.009194,0.009437,0.009955,0.009380,0.008817,0.008701,0.010267,0.009641,0.009475,0.008668,0.009281,0.009199,0.010011,0.010473,0.009796,0.011031,0.010216,0.009135,0.009072,0.008787,0.008384,0.009209,0.009952,0.008189,0.009061,0.009125,0.009503,0.009918,0.009368,0.009104,0.009387,0.009651,0.009197,0.009884,0.008074,0.008123,0.008985,0.008341,0.009147,0.008546,0.010331,0.010288,0.009710,0.008540,0.008789,0.008310,0.008730,0.009147,0.008914,0.008868,0.009559,0.008611,0.008667,0.009103,0.009473,0.009616,0.009268,0.008984,0.009212,0.009352,0.009382,0.009492,0.009226,0.007407,0.008997,0.010233,0.008429,0.008295,0.009587,0.009655,0.009542,0.009296,0.010058,0.009536,0.008457,0.009335,0.008440,0.008585,0.009333,0.009689,0.009996,0.009353,0.008772,0.009648,0.008144,0.009162,0.009135,0.008742,0.008603,0.007862,0.008293,0.008871,0.009250,0.008924,0.009036,0.016807,0.009447,0.009094,0.008691,0.008920,0.009574,0.009788
SS Thickness,,N/A,0.004645,0.002888,0.001341,0.000994,0.004206,0.002360,0.003356,0.001454,0.003798,0.001754,0.001601,0.001525,0.001435,0.007833,0.002575,0.003192,0.001372,0.001643,0.001530,0.002215,0.003958,0.003538,0.003043,0.002312,0.001598,0.004940,0.004907,0.007295,0.002112,0.000816,0.002811,0.003440,0.002454,0.001804,0.002077,0.001813,0.001792,0.003377,0.004069,0.003731,0.003998,0.006564,0.001794,0.002137,0.002580,0.001718,0.002979,0.003923,0.002814,0.002660,0.000893,0.000061,0.006399,0.001778,0.008218,0.005097,0.005308,0.002096,0.006981,0.002427,0.003461,0.001375,0.001893,0.001864,0.001227,0.001205,0.002831,0.000746,0.003858,0.002985,0.002296,0.001252,0.002640,0.001557,0.002857,0.002364,0.001504,0.003033,0.007578,0.001866,0.003672,0.002517,0.002528,0.000903,0.001069,0.001970,0.003212,0.001590,0.002130,0.003718,0.003840,0.006702,0.002550,0.002951,0.003066,0.008458,0.011374,0.001144,0.003693,0.003267,0.001427,0.000722,0.003414,0.007979,0.002760,0.005164,0.003146,0.002178,0.000725,0.004140,0.002846,0.001575,0.003015,0.000347,0.005876,0.000250,0.008339,0.003628,0.002073,0.004070,0.002510,0.001704,0.000501,0.001784,0.000051,0.002088,0.001137,0.006316,0.001349,0.004386,0.001994,0.003883,0.001995,0.002817,0.001297,0.003172,0.000441,0.003433,0.002725,0.001344,0.007455,0.001863,0.001156,0.002789,0.001876,0.003542,0.001338,0.001785,0.003287,0.000824,0.002671,0.004649,0.002450,0.000434,0.002791,0.003224,0.002495,0.003682,0.002930,0.001756,0.006066,0.002728,0.002725,0.003169,0.000462,0.003984,0.003447
CS Thickness,,N/A,0.001438,0.001577,0.001299,0.005655,0.001834,0.002518,0.001752,0.001706,0.000300,0.001536,0.006774,0.006811,0.001631,0.000301,0.001954,0.009192,0.002194,0.003507,0.006979,0.007385,0.000522,0.007964,0.001587,0.002481,0.003043,0.000958,0.001734,0.001916,0.007739,0.005621,0.005063,0.002003,0.004028,0.002677,0.002046,0.000682,0.002377,0.004785,0.006597,0.008396,0.003706,0.001456,0.001877,0.007986,0.003469,0.001661,0.002912,0.001660,0.006752,0.008082,0.001547,0.002580,0.003567,0.009452,0.005927,0.006722,0.001544,0.007554,0.002816,0.001437,0.002718,0.006556,0.000387,0.002054,0.003958,0.001315,0.002815,0.000201,0.002006,0.000846,0.002025,0.002759,0.000694,0.008739,0.005216,0.000077,0.006268,0.005116,0.001298,0.006669,0.000525,0.005603,0.003324,0.007307,0.003125,0.006937,0.001496,0.003362,0.004861,0.002963,0.007699,0.002486,0.006177,0.001507,0.000712,0.001159,0.006173,0.001865,0.007273,0.000751,0.005853,0.001640,0.004815,0.008302,0.003790,0.001455,0.009085,0.001773,0.002328,0.001672,0.002006,0.001823,0.001032,0.000147,0.002265,0.001682,0.007530,0.006313,0.005411,0.001629,0.002318,0.002507,0.006263,0.000171,0.003476,0.003309,0.000690,0.001242,0.000987,0.002375,0.007149,0.001128,0.005836,0.002078,0.002208,0.005744,0.007497,0.002203,0.004234,0.009032,0.007595,0.007288,0.005802,0.002151,0.001618,0.001380,0.000667,0.002548,0.001833,0.001832,0.001208,0.002161,0.000640,0.001143,0.007013,0.002968,0.001025,0.001402,0.007930,0.006732,0.000752,0.005171,0.002128,0.000743,0.001102,0.000802,0.001364
TT Thickness,,N/A,0.003707,0.002754,0.000876,0.000852,0.002259,0.006184,0.004195,0.000597,0.001436,0.002441,0.001266,0.005653,0.004157,0.001187,0.002019,0.005855,0.000834,0.000598,0.007879,0.000499,0.001562,0.001068,0.006053,0.004155,0.000287,0.002297,0.001059,0.002572,0.000063,0.001336,0.005986,0.001207,0.005441,0.000897,0.001676,0.003192,0.004452,0.001015,0.002531,0.002441,0.004051,0.005078,0.000742,0.001815,0.000939,0.001313,0.000560,0.001906,0.001469,0.000367,0.000347,0.005207,0.005804,0.001401,0.002017,0.002119,0.000060,0.001009,0.006012,0.006322,0.001133,0.002838,0.001431,0.004480,0.001210,0.004555,0.000083,0.000072,0.001016,0.005794,0.007950,0.000958,0.001417,0.003921,0.006778,0.000879,0.005100,0.004117,0.000269,0.002284,0.000897,0.000381,0.000828,0.001041,0.000857,0.000860,0.000798,0.000115,0.001784,0.002331,0.004902,0.001813,0.005360,0.001593,0.004564,0.004682,0.007437,0.003962,0.002144,0.000210,0.006863,0.006516,0.000041,0.001492,0.001180,0.000618,0.006388,0.004246,0.001605,0.000277,0.002868,0.001680,0.006174,0.000014,0.005322,0.006629,0.002038,0.001090,0.000956,0.003722,0.000259,0.004819,0.000915,0.001232,0.001824,0.000393,0.002744,0.001488,0.002478,0.000957,0.001732,0.000353,0.003949,0.005420,0.005581,0.001949,0.000761,0.001370,0.000585,0.007333,0.007709,0.001500,0.004762,0.005303,0.007184,0.000655,0.000903,0.000400,0.004763,0.003332,0.002493,0.007037,0.006289,0.001821,0.001479,0.006974,0.005702,0.000721,0.009654,0.002406,0.002461,0.000914,0.000725,0.007764,0.000938,0.001660,0.001263
BB Thickness,,m,0.001042,0.009532,0.003241,0.006048,0.006462,0.001245,0.002592,0.00078949,0.006732,0.002533,0.006628,0.007294,0.001769,0.00804,0.001758,0.007616,0.00216,0.002502,0.00017801,0.003109,0.002192,0.00251,0.00056346,0.002657,0.001796,0.007413,0.002912,0.006715,0.007734,0.001331,0.006716,0.003266,0.002035,0.009226,0.006642,0.006501,0.009109,0.003481,0.004114,0.006115,0.002901,0.007005,0.008102,0.002149,0.003345,0.001892,0.00024656,0.002334,0.001915,0.008808,0.00643,0.006369,0.002465,0.007491,0.004312,0.00374,0.003451,0.003267,0.00528,0.001504,0.003709,0.007195,0.00628,0.007032,0.008403,0.006314,0.002946,0.002313,0.007759,0.006359,0.008373,0.005323,0.00018434,0.005403,0.003345,0.008436,0.006195,0.002018,0.007243,0.001541,0.007596,0.005917,0.001594,0.002061,0.001203,0.003766,0.003269,0.00068274,0.006906,0.003082,0.001741,0.0037,0.002412,0.002209,0.003162,0.004053,0.003248,0.002379,0.001112,0.003086,0.001743,0.00835,0.003976,0.00233,0.002396,0.002846,0.006612,0.008322,0.007196,0.003117,0.00135,0.001653,0.003546,0.001264,0.002947,0.006868,0.003779,0.008364,0.008918,0.001914,0.005589,0.007554,0.00083939,0.001659,0.00181,0.002862,0.006043,0.001536,0.001845,0.009548,0.002018,0.003174,0.001592,0.002954,0.008319,0.002883,0.005025,0.008395,0.00094212,0.00023195,0.00061357,0.007235,0.00021958,0.002142,0.003114,0.00080306,0.001738,0.001996,0.00912,0.001727,0.009545,0.001865,0.006506,0.00433,0.003866,0.002208,0.003174,0.003384,0.006251,0.001363,0.002366,0.005268,0.00018078,0.001967,9.712e-05,0.002702,0.00804
HT Thickness,,m,0.003515,0.004027,0.006043,0.002355,0.00056393,0.0006552,0.001747,0.003371,0.0008368,0.00051794,0.001172,0.00254,0.001731,0.003614,0.00036012,0.001781,0.001356,0.003351,0.007749,0.0001812,0.002435,0.002297,0.00165,0.00044973,0.001542,0.00092723,0.00098954,0.002353,0.00053358,0.003191,0.003148,0.003022,0.002406,0.00343,0.00018784,0.00084938,0.001858,0.0007387,0.002945,0.003448,0.00038351,0.002144,0.00023679,0.001992,0.002787,0.003728,0.001448,0.00205,0.002089,0.003783,0.003314,0.001161,0.002159,0.0007153,0.003169,0.002185,0.00066668,0.001436,0.008431,0.00074409,0.001302,0.001573,0.002988,0.003309,0.005663,0.002518,0.00066927,0.00092279,0.002128,0.001142,0.003085,0.0009736,0.002814,0.001757,0.001258,0.001484,0.00051268,0.001527,0.007505,0.003495,0.001147,0.00177,0.003309,0.00097294,0.001438,0.006664,0.002506,0.002372,0.002929,0.003126,0.003008,0.007372,0.00057373,0.003792,0.002072,0.002658,0.002367,0.00056728,0.009256,0.0004776,0.002723,0.00026529,0.002179,0.001488,0.001801,0.00042976,0.003717,0.002032,0.001228,0.008837,0.00033297,0.002675,0.00050651,0.008588,0.002266,0.002295,0.003078,0.002307,0.004594,0.001901,0.007701,0.00039811,0.002948,0.001645,0.003525,0.007886,0.00012145,0.002029,0.001797,0.00071009,0.00299,0.001648,0.00257,0.00073349,0.001886,0.001154,0.003149,0.001301,0.004524,0.003022,0.005203,0.00064197,0.003756,0.002444,0.001431,0.007044,0.007344,0.002037,0.002294,0.001542,0.00062672,0.003636,0.00033729,0.002294,0.003439,0.003021,0.00288,0.003077,0.002653,0.006789,0.001264,0.00036581,0.002965,0.002795,0.001346,0.001824,7.463e-05
ST Thickness,,N/A,0.002559,0.005943,0.002284,0.002760,0.001207,0.004795,0.000459,0.001462,0.000370,0.001806,0.000979,0.001372,0.006060,0.001332,0.001416,0.005546,0.000283,0.000772,0.005169,0.001587,0.006139,0.004819,0.001454,0.002121,0.000403,0.005024,0.000513,0.001638,0.005535,0.001908,0.002329,0.001336,0.000687,0.003091,0.000582,0.002852,0.000508,0.002847,0.001155,0.002793,0.003285,0.005585,0.001149,0.007837,0.003254,0.006251,0.000205,0.003136,0.003946,0.002466,0.005127,0.007728,0.002227,0.002607,0.000113,0.000382,0.001765,0.002704,0.002792,0.000585,0.003316,0.001356,0.001188,0.001034,0.001913,0.001915,0.004311,0.007971,0.000652,0.000965,0.006959,0.003831,0.001975,0.002589,0.006495,0.001924,0.001688,0.001678,0.000520,0.007766,0.003189,0.002021,0.001557,0.001914,0.002343,0.007207,0.002762,0.001639,0.006525,0.006041,0.001162,0.000016,0.001639,0.001248,0.001587,0.001879,0.003143,0.007857,0.000398,0.000484,0.001476,0.007700,0.002697,0.001513,0.001370,0.000346,0.006866,0.001418,0.002557,0.000370,0.001279,0.003054,0.002663,0.002180,0.006457,0.002269,0.000686,0.008896,0.003867,0.001394,0.000489,0.004512,0.006798,0.005532,0.003135,0.006095,0.001751,0.001277,0.000504,0.004161,0.006363,0.001821,0.002831,0.000644,0.002196,0.003993,0.005988,0.001244,0.006587,0.001528,0.002908,0.002819,0.000409,0.006342,0.002713,0.006748,0.005359,0.003499,0.001899,0.004608,0.002446,0.000878,0.005100,0.002340,0.001473,0.004930,0.000975,0.005538,0.001744,0.001353,0.001686,0.000766,0.005934,0.000595,0.002022,0.001508,0.001179
