Design Study 1
Scenarios/Iterations:, 143
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143
Material,,N/A,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330039,0.330072,0.330016,0.330086,0.329980,0.329967,0.329987,0.330033,0.329967,0.329974,0.329994,0.330053,0.330018,0.329998,0.330028,0.329979,0.330032,0.329971,0.330039,0.330055,0.330050,0.330001,0.330015,0.329977,0.330010,0.330064,0.330067,0.330035,0.330049,0.329980,0.330030,0.330049,0.329982,0.330070,0.330066,0.330021,0.329949,0.329967,0.330010,0.330017,0.330003,0.329921,0.330010,0.329988,0.330007,0.330007,0.330042,0.330001,0.330032,0.330018,0.329979,0.330126,0.330001,0.330020,0.369508,0.329414,0.329985,0.330007,0.330009,0.330043,0.329940,0.330019,0.330061,0.329985,0.329982,0.330065,0.329971,0.329974,0.329992,0.330055,0.330015,0.330004,0.330106,0.330058,0.330035,0.329976,0.329970,0.329964,0.330017,0.330065,0.330008,0.329926,0.330098,0.329984,0.330073,0.330008,0.330003,0.329888,0.329990,0.330026,0.330017,0.330009,0.329968,0.330044,0.330035,0.330084,0.329984,0.330010,0.330040,0.330031,0.330008,0.330004,0.330018,0.330015,0.329966,0.330125,0.329984,0.330062,0.329923,0.330024,0.329997,0.330021,0.330047,0.330054,0.330075,0.329996,0.367626,0.329988,0.330058,0.330000,0.329976,0.330038,0.330001,0.330038,0.330063,0.330084,0.330156,0.330067,0.330096,0.330022,0.329988,0.329933,0.329957,0.330010,0.329951,0.329948,0.330026,0.330023,0.329997,0.329963,0.329986,0.330078,0.329998,0.330026
CSB Offset,,N/A,0.299991,0.299974,0.300027,0.299891,0.349981,0.350036,0.349984,0.349969,0.299828,0.350006,0.350033,0.349912,0.349973,0.350005,0.300066,0.349765,0.349891,0.349892,0.350031,0.350054,0.349933,0.299938,0.350177,0.350016,0.350000,0.299903,0.350008,0.300065,0.349966,0.300121,0.350004,0.350015,0.349995,0.300087,0.350021,0.350021,0.388244,0.349938,0.350018,0.349989,0.350030,0.349968,0.349977,0.350007,0.300048,0.386168,0.349981,0.350006,0.350022,0.350144,0.349994,0.349993,0.299855,0.300040,0.349882,0.350916,0.349973,0.350056,0.349996,0.349988,0.350019,0.349978,0.349997,0.373799,0.349954,0.299898,0.349958,0.350004,0.350034,0.300046,0.349974,0.300019,0.350074,0.349995,0.350051,0.349984,0.349957,0.350014,0.349761,0.299980,0.299812,0.374534,0.350066,0.349956,0.299966,0.350115,0.350004,0.300029,0.349987,0.349877,0.349911,0.299933,0.349957,0.300155,0.350051,0.350036,0.349975,0.350051,0.350076,0.350026,0.350002,0.349974,0.350002,0.350029,0.349971,0.350330,0.299915,0.349982,0.350055,0.349892,0.349935,0.350001,0.300066,0.350110,0.349946,0.350034,0.349961,0.350028,0.349982,0.300082,0.349986,0.350011,0.349986,0.349970,0.307240,0.349957,0.373952,0.350048,0.300085,0.369210,0.350013,0.375942,0.349960,0.300020,0.349935,0.299983,0.350037,0.350018,0.349998,0.350037,0.349919,0.349995,0.349904,0.349897
SS Z,,N/A,0.008965,0.009014,0.009239,0.009138,0.009119,0.007197,0.009038,0.010351,0.009111,0.009260,0.008426,0.009913,0.008864,0.008829,0.008757,0.009187,0.010229,0.009317,0.008504,0.015891,0.009217,0.008595,0.008695,0.009180,0.008417,0.008684,0.009467,0.009092,0.009004,0.009142,0.008859,0.008354,0.008958,0.009216,0.009727,0.008742,0.009203,0.008608,0.009155,0.008923,0.009562,0.008724,0.009036,0.008727,0.009069,0.008830,0.009781,0.008724,0.009540,0.009007,0.009336,0.008814,0.009305,0.008941,0.008125,0.008998,0.008902,0.009213,0.009906,0.009345,0.009064,0.008925,0.008543,0.008877,0.008836,0.008969,0.008848,0.009026,0.008857,0.008940,0.008614,0.008584,0.009081,0.014707,0.009343,0.008449,0.008767,0.008905,0.008879,0.009093,0.009218,0.008142,0.008882,0.008421,0.008502,0.008684,0.009656,0.009165,0.008468,0.009136,0.008928,0.009275,0.015289,0.008879,0.009079,0.009233,0.009516,0.009568,0.009060,0.008790,0.009179,0.008452,0.009030,0.009277,0.009228,0.008687,0.008838,0.008069,0.009040,0.008709,0.009201,0.009173,0.008409,0.009022,0.008920,0.010389,0.008766,0.008524,0.008928,0.008629,0.009498,0.009415,0.008972,0.009073,0.009087,0.008879,0.009904,0.009138,0.008605,0.009725,0.008985,0.008928,0.009245,0.008258,0.009761,0.008776,0.009136,0.008915,0.008939,0.009243,0.008905,0.014526,0.008624,0.009140
SS Thickness,,N/A,0.004645,0.001989,0.002813,0.004942,0.002135,0.009107,0.002006,0.001014,0.000941,0.001491,0.002305,0.000824,0.001697,0.001445,0.005212,0.002184,0.000803,0.005260,0.002176,0.004157,0.000857,0.003300,0.003880,0.001948,0.004626,0.000334,0.002504,0.001340,0.001058,0.003808,0.002882,0.004116,0.002694,0.001372,0.003757,0.001541,0.003244,0.002473,0.001054,0.002329,0.001091,0.002291,0.002557,0.003224,0.000010,0.001449,0.004003,0.002723,0.003413,0.000105,0.000723,0.002188,0.001162,0.001549,0.000276,0.002315,0.002206,0.002154,0.000556,0.001914,0.001997,0.002085,0.003133,0.000829,0.001742,0.001662,0.002531,0.002640,0.003503,0.001112,0.002115,0.002371,0.005073,0.000850,0.003127,0.001825,0.001532,0.003317,0.003487,0.002371,0.002761,0.003562,0.003165,0.000937,0.001184,0.002197,0.002077,0.003282,0.002783,0.000051,0.002120,0.000564,0.002398,0.001245,0.002223,0.003742,0.001667,0.000933,0.003675,0.001563,0.001713,0.004303,0.002025,0.001525,0.001710,0.001032,0.002454,0.002854,0.000218,0.004277,0.002462,0.001410,0.002292,0.000640,0.002290,0.000658,0.002439,0.000985,0.001870,0.002429,0.001013,0.002212,0.000054,0.002223,0.001306,0.001746,0.002271,0.001303,0.004330,0.002260,0.000177,0.002978,0.004781,0.001606,0.001776,0.002826,0.001777,0.002917,0.001601,0.004933,0.003401,0.004599,0.001467,0.003164
CS Thickness,,N/A,0.001438,0.002261,0.002874,0.003514,0.001758,0.001227,0.001220,0.001191,0.002435,0.003484,0.001877,0.005562,0.000332,0.004099,0.003641,0.001752,0.002221,0.001426,0.006234,0.002117,0.000084,0.004051,0.003041,0.001365,0.001830,0.002588,0.001959,0.000359,0.001907,0.001460,0.003753,0.001295,0.002001,0.001455,0.003560,0.002885,0.002604,0.004332,0.002553,0.003595,0.000868,0.001589,0.002198,0.001138,0.002373,0.001872,0.002788,0.001592,0.000520,0.001038,0.002362,0.000642,0.001368,0.000552,0.001193,0.004185,0.000076,0.002840,0.000867,0.003944,0.003262,0.001026,0.003240,0.001076,0.003096,0.002351,0.003048,0.002889,0.002935,0.004552,0.000554,0.003990,0.001614,0.001787,0.003452,0.003977,0.001419,0.001088,0.001872,0.000259,0.002800,0.001062,0.001618,0.001459,0.000996,0.001945,0.001290,0.003270,0.002204,0.002253,0.000488,0.000631,0.006517,0.005003,0.000843,0.001815,0.002620,0.006343,0.002194,0.000487,0.001153,0.002604,0.000339,0.001816,0.000683,0.000925,0.000679,0.001853,0.004488,0.003383,0.000422,0.001921,0.002890,0.002739,0.002667,0.004110,0.001631,0.001884,0.001440,0.002413,0.002405,0.004056,0.003381,0.003598,0.001791,0.000570,0.003808,0.000482,0.001751,0.002833,0.001020,0.005349,0.002281,0.000031,0.002899,0.002856,0.000928,0.002990,0.004278,0.003478,0.001544,0.002207,0.000503,0.001101
TT Thickness,,N/A,0.003707,0.002757,0.002050,0.000754,0.000570,0.002198,0.001026,0.002336,0.001986,0.004305,0.002544,0.003603,0.001520,0.002902,0.004136,0.001748,0.002753,0.002441,0.003683,0.001667,0.002160,0.000948,0.003686,0.003206,0.002917,0.003055,0.000025,0.003379,0.002887,0.000791,0.001653,0.002826,0.003545,0.003894,0.004588,0.002795,0.001010,0.001855,0.003539,0.002920,0.003430,0.000307,0.001646,0.001283,0.003149,0.001636,0.003640,0.002471,0.002183,0.002696,0.001238,0.005767,0.003883,0.001875,0.005557,0.002373,0.003123,0.002680,0.002279,0.003500,0.002864,0.001997,0.003377,0.001313,0.001553,0.004603,0.003809,0.002510,0.000307,0.001678,0.000381,0.000563,0.004145,0.001024,0.001443,0.002023,0.001598,0.000777,0.005117,0.002029,0.001839,0.001332,0.003447,0.003603,0.003169,0.001273,0.003425,0.001936,0.000290,0.005038,0.003073,0.002685,0.002587,0.003277,0.000151,0.003031,0.003858,0.001327,0.003836,0.004291,0.002494,0.004736,0.004000,0.003000,0.001941,0.000848,0.002393,0.001310,0.001489,0.002713,0.002123,0.004750,0.003942,0.002581,0.000473,0.001071,0.002362,0.004233,0.001459,0.002680,0.005138,0.001879,0.004007,0.002843,0.000748,0.004604,0.002455,0.000123,0.003617,0.001328,0.003075,0.005086,0.004348,0.003119,0.000775,0.003858,0.002647,0.003962,0.002576,0.002548,0.001828,0.001030,0.002042,0.001028
BB Thickness,,m,0.001042,0.003567,0.00042063,0.002738,0.00027101,0.002684,0.002593,0.0001723,0.001628,0.001064,0.005061,0.004282,0.00014461,0.002166,0.002909,0.002999,0.003811,0.003521,0.004834,0.003082,0.00272,0.001124,0.008262,0.001419,0.007622,0.003371,0.00058001,0.002179,0.004184,0.003217,0.00038169,0.004678,0.001574,0.00071324,0.002618,0.001129,0.007581,0.00193,0.004091,0.002809,0.001573,0.002121,0.00074466,0.00056225,0.003849,0.003203,0.00062587,0.00347,0.003298,0.00075658,0.003743,0.002619,0.002807,0.002922,0.002896,0.002412,0.001345,0.002258,5.46e-06,0.002108,0.00095038,0.004109,0.00053248,0.004916,0.002852,0.003267,0.001784,0.001856,0.001462,0.002448,0.00094555,0.001935,0.001664,0.002746,0.00258,0.002892,0.003881,0.00145,0.00125,0.00060435,0.001643,0.00086928,0.00037875,0.001596,0.004995,0.007694,0.001864,0.001815,0.002321,0.003084,0.002585,0.00041902,0.001374,0.001924,0.00090089,0.002922,0.003271,0.007533,0.001056,0.003105,0.00179,0.00081373,0.00203,0.0003028,0.003566,0.00048739,0.001287,0.003181,0.001746,0.003019,0.001633,0.004343,0.002231,0.00072893,0.00187,0.002817,0.001013,0.001096,0.002107,0.002482,0.002632,0.001023,0.003627,0.00034197,0.001531,0.001179,0.003848,0.00060383,0.001889,0.001508,0.00069922,0.001728,0.002338,0.00044738,0.002775,0.002429,0.00094082,0.00056557,0.003878,0.003305,0.00215,0.001074,0.002141,0.001496
HT Thickness,,m,0.003515,0.004119,0.002723,0.003169,0.0023,0.002179,0.002876,0.001887,0.002227,0.004821,0.007049,0.002152,0.002011,0.002575,0.00089001,0.001892,0.002425,0.00088946,0.00052622,0.00065107,0.002214,0.001447,0.001442,0.002317,0.00018114,7.493e-05,0.003049,0.00028933,0.003801,0.001713,0.002713,0.004086,0.003214,0.00060641,0.001892,0.002071,0.00311,0.001193,0.00281,0.00146,0.002171,0.00021041,0.00016819,0.002672,0.001247,0.00012908,0.002364,0.001895,0.001475,0.001559,0.00105,0.003784,0.003544,0.002397,0.002413,0.001012,0.00067182,0.001644,0.00015025,0.002661,0.001554,0.003415,0.00244,0.00332,0.003737,0.00070016,0.002997,0.002133,0.00036903,0.003635,0.005541,0.00032346,0.00021741,0.002658,0.002979,0.00115,0.001854,0.002466,0.00060326,0.002121,0.002065,0.00155,0.003482,0.00388,0.001514,0.001137,0.00026798,0.002996,0.00295,0.001264,0.001082,0.00069925,0.00075604,0.00050826,0.00019744,0.00052576,0.003467,0.00097815,0.002608,0.003425,0.001271,0.00236,0.0005388,0.0033,0.001845,0.00020335,0.006709,0.001493,0.002205,0.002861,0.002612,0.001551,0.002955,0.001313,0.002901,0.001139,0.001128,2.706e-05,0.001119,0.001066,0.0003273,0.002212,0.0008605,0.00099514,0.00168,0.004316,0.002687,0.001066,0.002697,0.001784,0.003941,0.003417,0.003012,4.321e-05,0.003115,0.001995,0.00076604,0.002157,0.00050931,0.001572,0.001095,0.00023988,0.002355,0.00023802
ST Thickness,,N/A,0.002559,0.003626,0.001948,0.003988,0.001602,0.002603,0.001782,0.001467,0.002908,0.000630,0.003171,0.002426,0.003552,0.000876,0.002282,0.001240,0.003508,0.002254,0.003318,0.003224,0.003604,0.003528,0.001675,0.001803,0.006163,0.003596,0.003594,0.000897,0.001716,0.001808,0.002860,0.002552,0.004042,0.002576,0.002091,0.003063,0.002971,0.001499,0.002863,0.003523,0.003871,0.003487,0.002366,0.002145,0.001774,0.001614,0.000309,0.002216,0.001293,0.003692,0.002499,0.002180,0.001795,0.001892,0.003893,0.001420,0.000767,0.002089,0.005002,0.001137,0.001955,0.001644,0.001737,0.001679,0.002698,0.001646,0.001652,0.002323,0.001301,0.004035,0.005242,0.000487,0.003151,0.001935,0.003110,0.002889,0.001611,0.000348,0.002852,0.001950,0.001927,0.000856,0.003178,0.003307,0.002196,0.003108,0.002963,0.003670,0.001977,0.002267,0.003249,0.002436,0.000365,0.003312,0.001716,0.001464,0.001457,0.006310,0.001949,0.001562,0.002536,0.002717,0.003610,0.004665,0.001621,0.001997,0.005205,0.001449,0.003024,0.003253,0.001294,0.000924,0.001271,0.000655,0.003605,0.002500,0.001306,0.003990,0.003099,0.003365,0.004036,0.000656,0.001938,0.003357,0.002974,0.003818,0.002349,0.002966,0.002488,0.002860,0.004770,0.005123,0.000587,0.001961,0.003136,0.001401,0.002711,0.000437,0.001187,0.001391,0.003036,0.001189,0.001786,0.003507
DT Thickness,,m,0.001404,0.00055183,0.00095811,0.003526,0.001278,0.001519,0.001356,0.0012,0.002679,0.001073,0.001215,0.002192,0.004581,0.002278,0.00075448,0.004279,0.001259,0.002584,0.002402,0.003401,0.005437,0.001894,0.00012693,0.004352,0.004685,0.002924,0.005643,0.00072212,0.002992,0.004215,0.002699,0.001432,0.00085408,0.001424,0.002786,0.001277,0.003706,0.003178,0.00062678,0.003455,0.00015871,0.004297,0.002729,0.00192,0.002379,6.193e-05,0.002531,0.004093,0.003993,0.00039517,0.002364,0.001678,0.001157,0.00076201,0.005239,0.003528,0.004714,0.00076379,0.003667,0.005271,0.004371,0.001688,0.003978,0.00259,0.003715,0.003182,0.002735,0.003293,0.002622,0.001804,0.001159,0.002495,0.00039828,0.003739,0.002795,0.003748,0.003459,0.003117,0.002991,0.001632,0.004301,0.004002,0.001356,0.002332,0.001262,0.002623,0.003519,0.00065838,0.00065944,0.002489,0.003325,0.002849,0.00087449,0.002917,0.002297,0.002947,0.00094404,0.00758,0.002381,0.0003211,0.00388,0.002371,0.001389,0.00211,0.001272,0.002935,0.002285,0.002601,0.003147,0.002173,0.00085079,0.003184,0.001298,0.004022,0.001579,0.001215,0.002097,0.001072,0.001028,0.002426,0.00088616,0.00084297,0.002367,0.003101,0.001018,0.00019525,0.001653,0.001891,0.004569,0.002728,0.00239,0.001927,0.002995,0.002895,0.001083,0.004294,0.002915,0.002876,0.00439,0.001856,0.004566,0.0002161,0.003281,0.002516
DT Length,,N/A,0.631232,0.683568,0.675955,0.609693,0.654618,0.668733,0.724628,0.779322,0.650140,0.656915,0.706177,0.639751,0.761771,0.628785,0.658660,0.754041,0.640325,0.672675,0.666233,0.627462,0.652022,0.658524,0.805849,0.658154,0.636640,0.673197,0.646346,0.793326,0.721325,0.742685,0.691998,0.662052,0.600503,0.650169,0.675607,0.696282,0.617568,0.736476,0.677954,0.637175,0.612006,0.690717,0.635214,0.636551,0.609983,0.713209,0.612860,0.645631,0.652181,0.626392,0.645651,0.610667,0.640825,0.615167,0.643947,0.621209,0.587222,0.670278,0.647716,0.614932,0.657940,0.660218,0.666718,0.747288,0.778069,0.695616,0.642402,0.662200,0.765518,0.902732,0.658676,0.598524,0.651005,0.645614,0.670358,0.654932,0.665952,0.614181,0.668138,0.650497,0.636419,0.645531,0.649981,0.621132,0.643432,0.627259,0.598374,0.697785,0.631967,0.665962,0.526949,0.600146,0.666434,0.583479,0.615725,0.649988,0.649181,0.623890,0.653074,0.650928,0.617202,0.730182,0.648006,0.616301,0.583391,0.686727,0.659040,0.644559,0.746214,0.664062,0.660631,0.648880,0.668443,0.689892,0.663708,0.780527,0.656028,0.651556,0.610919,0.643500,0.653611,0.657130,0.657809,0.650323,0.396487,0.655296,0.653768,0.629671,0.686140,0.729288,0.635977,0.669738,0.659188,0.687092,0.623692,0.636230,0.665155,0.649037,0.649867,0.644090,0.644071,0.805915,0.512412,0.616945
