Design Study 1
Scenarios/Iterations:, 78
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78
CSB Offset,,N/A,0.299991,0.298705,0.348288,0.349037,0.349542,0.349073,0.348479,0.298229,0.366399,0.349117,0.368745,0.298802,0.298736,0.349020,0.348806,0.349790,0.348960,0.349148,0.349137,0.298082,0.369827,0.349148,0.364359,0.349062,0.349073,0.349505,0.349156,0.377965,0.348854,0.348645,0.348722,0.348631,0.375384,0.348830,0.349651,0.348240,0.348350,0.349192,0.299257,0.348698,0.299533,0.298789,0.297807,0.349395,0.349318,0.349514,0.364377,0.349189,0.348909,0.348361,0.349089,0.348615,0.298870,0.349565,0.348988,0.349109,0.349443,0.298316,0.349141,0.348935,0.348855,0.349181,0.297711,0.349334,0.362876,0.349426,0.298463,0.349017,0.348950,0.349759,0.349002,0.348990,0.349905,0.298042,0.348850,0.349137,0.300006,0.349353,0.349642
SS Z,,N/A,0.008965,0.010715,0.009859,0.009338,0.008916,0.009352,0.009793,0.010703,0.009293,0.008629,0.009773,0.010075,0.010897,0.009325,0.009480,0.010710,0.009305,0.010072,0.009627,0.009438,0.009736,0.008915,0.010383,0.010023,0.008323,0.008659,0.010352,0.008793,0.010297,0.009412,0.010136,0.011063,0.009547,0.011144,0.011456,0.009519,0.010066,0.020355,0.009947,0.009704,0.010051,0.009649,0.009444,0.010763,0.016731,0.009269,0.008498,0.010165,0.009626,0.010745,0.009442,0.008321,0.009295,0.009426,0.009941,0.009657,0.009473,0.009480,0.009486,0.010744,0.009951,0.008547,0.010650,0.009101,0.009920,0.009820,0.008787,0.010070,0.009841,0.010207,0.010123,0.009621,0.008657,0.010007,0.010371,0.009052,0.009873,0.009984,0.009718
SS Thickness,,N/A,0.004645,0.009088,0.003102,0.010114,0.009858,0.003500,0.003035,0.004558,0.009362,0.004276,0.002888,0.004366,0.003984,0.003971,0.004999,0.011217,0.005563,0.002548,0.004263,0.008727,0.002683,0.003341,0.003221,0.002917,0.002366,0.002398,0.004062,0.005509,0.006076,0.010612,0.003257,0.001964,0.002599,0.004720,0.003848,0.002604,0.006966,0.004058,0.004637,0.004432,0.003108,0.002737,0.003300,0.003693,0.003246,0.008407,0.008610,0.002763,0.007875,0.003242,0.004775,0.004388,0.004491,0.002120,0.003619,0.003548,0.004390,0.002595,0.007188,0.004992,0.000383,0.003507,0.004738,0.004441,0.002502,0.004797,0.005169,0.004200,0.001970,0.008396,0.005114,0.002675,0.003965,0.004029,0.007053,0.002496,0.004337,0.008713,0.008203
CS Thickness,,N/A,0.001438,0.001469,0.001836,0.000073,0.001430,0.003644,0.000475,0.001004,0.001007,0.001661,0.001450,0.002534,0.000614,0.000889,0.001082,0.000918,0.001365,0.000904,0.001634,0.000358,0.000933,0.002130,0.002242,0.001403,0.001526,0.003726,0.000148,0.000832,0.000445,0.000014,0.001892,0.000447,0.000451,0.001588,0.000063,0.000399,0.001482,0.000223,0.000926,0.000976,0.002863,0.002098,0.001479,0.000672,0.004203,0.000531,0.000850,0.002023,0.002985,0.001964,0.002529,0.003135,0.002183,0.001707,0.000542,0.002713,0.001905,0.000698,0.000568,0.000382,0.001969,0.002443,0.001033,0.001243,0.000425,0.000776,0.002277,0.000482,0.000857,0.000272,0.002622,0.000520,0.000649,0.000820,0.002421,0.002965,0.000347,0.007984,0.001974
TT Thickness,,N/A,0.003707,0.001738,0.001173,0.004032,0.000764,0.000576,0.003700,0.001698,0.004033,0.003021,0.002285,0.004492,0.002694,0.001944,0.001580,0.002571,0.001807,0.002158,0.000900,0.005124,0.003641,0.001654,0.000547,0.003951,0.001928,0.001136,0.002763,0.000682,0.004046,0.001870,0.000980,0.001169,0.004310,0.001507,0.002678,0.002012,0.000348,0.003185,0.002440,0.000054,0.003724,0.006446,0.001762,0.001773,0.006524,0.004615,0.004698,0.007913,0.005416,0.011511,0.002243,0.000401,0.006678,0.002389,0.001149,0.002010,0.002952,0.001947,0.000369,0.000288,0.003343,0.002184,0.007654,0.003461,0.007121,0.002404,0.002293,0.001053,0.003647,0.001314,0.002654,0.001704,0.004122,0.002376,0.001324,0.001202,0.001779,0.001709,0.000611
BB Thickness,,m,0.001042,0.00058181,0.001616,0.006245,0.002092,0.001473,0.001452,0.001118,0.001469,0.006789,0.00019104,0.002645,0.006515,0.00027737,0.00031075,0.00083676,0.00027519,0.002241,0.00048289,0.002524,0.008564,0.003003,0.004303,0.002376,0.001541,2.979e-05,0.00035832,0.00025452,0.00108,0.002339,0.001702,0.0004056,0.00077401,0.00717,0.004585,0.0024,0.00013751,0.0004099,0.00054932,6.664e-05,0.006613,0.00047466,0.003591,0.006464,0.00054598,0.003235,1.335e-05,0.001133,0.005496,0.00027735,0.005374,0.00089387,0.00093973,0.006697,0.00028406,0.005008,0.001034,0.004915,0.001446,0.00039401,0.00365,0.001004,0.001448,0.006794,0.001791,0.003219,7.367e-05,0.002603,0.002931,0.005222,9.254e-05,0.005364,0.001929,0.003308,0.00045045,0.001827,0.004851,0.00203,0.00033587
HT Thickness,,m,0.003515,0.006342,0.002243,0.002069,0.00166,0.0009401,0.001272,0.004743,0.002479,0.008853,0.00045334,0.007391,0.001106,0.003764,0.003785,0.003361,0.001993,0.00058936,0.002026,0.00202,0.002024,0.003249,0.00493,0.002752,0.004879,0.003354,0.002269,0.001243,0.00080496,0.001437,0.003063,0.002969,0.00043003,0.007261,0.002195,0.001399,0.002619,0.002255,0.002733,0.00055333,0.002303,0.003666,0.005762,0.003142,0.004455,0.002159,0.00057611,0.005274,0.00071875,0.003421,0.002654,0.006972,0.005911,0.004072,0.001194,0.001829,0.0002886,0.002806,0.001504,0.0024,0.003517,0.00087547,0.00885,0.0003209,0.002745,0.003223,0.009014,0.008079,0.00206,0.00023935,0.002764,0.004081,0.00068687,0.006721,0.005328,0.00026362,0.004445,0.007998,0.003169
ST Thickness,,N/A,0.002559,0.005044,0.002743,0.003120,0.002543,0.002593,0.002791,0.003900,0.004492,0.001662,0.009471,0.004131,0.003116,0.001928,0.003447,0.004161,0.009835,0.010958,0.007804,0.002060,0.003839,0.006885,0.003519,0.002119,0.010830,0.007952,0.006221,0.004215,0.001494,0.006869,0.001948,0.000802,0.004233,0.003580,0.000869,0.007262,0.004326,0.002156,0.006202,0.004126,0.010396,0.001235,0.005950,0.002848,0.005712,0.003203,0.010755,0.001737,0.002464,0.000782,0.004661,0.003013,0.007942,0.005067,0.004270,0.009425,0.001555,0.010723,0.007889,0.001158,0.008624,0.006469,0.004659,0.007253,0.002791,0.002891,0.003460,0.001588,0.004274,0.007563,0.002577,0.005220,0.002356,0.008784,0.002833,0.009642,0.002899,0.006518,0.002619
DT Thickness,,m,0.001404,0.001189,0.001475,0.00041026,0.001676,0.005857,0.001154,0.002902,0.001417,0.00058229,0.003515,0.00283,0.001682,0.002202,0.00051751,0.003191,0.00236,0.002385,0.00068471,0.00336,0.003139,0.001723,0.00050758,0.00080533,0.004118,0.001148,0.004277,0.00071228,0.001952,0.00015162,0.001053,0.008417,0.001678,0.002783,0.00124,0.00013168,0.001235,0.002031,0.001649,0.001337,0.00077674,0.00153,0.00052395,0.004211,0.001636,0.005846,0.000145,0.00136,0.001665,5.65e-06,0.003008,0.001057,0.00017665,0.00036722,0.006548,0.002717,0.002105,0.001226,0.00045867,0.002195,0.002088,0.002655,0.002868,0.004672,0.001165,0.001088,0.001866,0.002643,0.00056775,0.001999,0.00059561,0.001073,0.0065,0.002858,0.00305,0.001455,0.00211,0.001036,0.00033628
DT Length,,N/A,0.631232,0.664312,0.673873,0.608988,0.654934,0.642791,0.689018,0.678752,0.645931,0.659653,0.675060,0.672063,0.660196,0.672104,0.659466,0.696835,0.653966,0.662685,0.607216,0.666441,0.666747,0.667881,0.671531,0.638344,0.670517,0.655111,0.690097,0.641923,0.606116,0.651461,0.662111,0.679802,0.650911,0.680670,0.738783,0.657900,0.672649,0.601288,0.649167,0.666816,0.643085,0.629806,0.639934,0.663372,0.673824,0.662012,0.663945,0.653926,0.636550,0.661373,0.660337,0.663688,0.663378,0.638215,0.675213,0.659794,0.615992,0.660382,0.653711,0.656343,0.736429,0.676306,0.773891,0.626678,0.674303,0.664937,0.652472,0.712169,0.660937,0.728139,0.656943,0.647772,0.672191,0.659631,0.666130,0.639262,0.661493,0.664152,0.649548
Min FS 1,Monitor Only,,3.640e+00,2.374e-01,4.472e-01,1.167e+00,1.391e+00,7.687e-01,5.654e-01,2.993e-01,2.535e+00,2.629e-01,2.317e-01,3.115e-01,2.014e-01,2.105e-01,3.283e-01,3.117e-01,1.168e+00,2.175e-01,5.004e-01,4.013e-01,4.596e-01,1.164e-01,1.251e-01,9.232e-01,1.389e+00,1.511e-01,3.610e-01,1.183e-01,1.043e+00,4.795e-01,5.111e-01,7.638e-01,7.472e-01,6.023e-01,1.808e-01,8.933e-01,4.387e-01,7.544e-01,2.416e-01,9.078e-02,2.137e-01,6.704e-01,6.642e-01,3.492e-01,3.873e-01,4.040e-01,Simulation Eccentric Stiffness (3) fails.,2.849e+00,2.457e-01,2.545e-01,6.517e-01,1.990e-01,2.723e-01,2.376e-01,9.438e-01,3.801e-01,4.078e-01,2.075e-01,Rebuild Error,2.817e-01,4.956e-01,3.292e-01,3.077e-01,2.791e-01,4.496e-01,2.698e-01,8.395e-02,2.461e-01,3.602e-01,4.103e+00,1.779e-01,5.186e-01,9.840e-01,7.517e-01,5.894e-01,1.027e+00,7.020e-01,4.437e-01,1.092e-01
Max Stress 1,Monitor Only, N/m^2,2.273e+08,1.938e+09,1.850e+09,7.089e+08,3.308e+08,1.076e+09,1.463e+09,9.187e+08,3.264e+08,1.750e+09,1.986e+09,1.476e+09,1.366e+09,2.185e+09,2.520e+09,1.476e+09,7.082e+08,1.265e+09,5.496e+08,6.852e+08,1.001e+09,2.363e+09,3.678e+09,4.982e+08,1.979e+08,3.044e+09,1.274e+09,3.888e+09,7.930e+08,9.594e+08,5.381e+08,3.601e+08,1.107e+09,1.374e+09,2.544e+09,9.262e+08,1.049e+09,1.097e+09,1.904e+09,5.067e+09,1.287e+09,4.102e+08,6.926e+08,1.317e+09,1.188e+09,1.139e+09,Simulation Eccentric Stiffness (3) fails.,2.904e+08,1.119e+09,3.251e+09,1.270e+09,2.311e+09,1.689e+09,1.936e+09,4.874e+08,1.210e+09,1.128e+09,1.325e+09,Rebuild Error,1.633e+09,9.281e+08,1.397e+09,1.495e+09,9.853e+08,1.023e+09,1.705e+09,5.479e+09,1.869e+09,1.277e+09,2.017e+08,1.546e+09,1.595e+09,8.408e+08,1.101e+09,4.666e+08,4.478e+08,1.179e+09,1.865e+09,4.211e+09
Min FS 3,Monitor Only,,2.577e+00,6.378e-01,1.229e+00,9.470e-01,8.937e-01,1.835e+00,1.502e+00,7.530e-01,1.881e+00,7.403e-01,5.910e-01,8.782e-01,5.590e-01,5.003e-01,6.777e-01,6.993e-01,7.479e-01,6.041e-01,3.406e-01,1.179e+00,1.231e+00,3.226e-01,3.384e-01,7.568e-01,8.108e-01,1.271e-01,4.683e-01,2.677e-01,2.202e+00,1.385e-01,3.795e-01,8.164e-01,7.246e-01,1.785e+00,4.763e-01,7.045e-01,3.624e-01,4.437e-01,5.889e-01,2.076e-01,6.101e-01,3.118e-01,6.062e-01,9.965e-01,6.384e-01,9.718e-01,Simulation Eccentric Stiffness (3) fails.,2.000e+00,7.511e-01,1.776e-01,1.688e+00,4.828e-01,6.739e-01,7.087e-01,6.943e-01,1.068e+00,1.006e+00,6.223e-01,Rebuild Error,4.682e-01,1.333e+00,8.729e-01,8.063e-01,7.766e-01,1.277e+00,7.624e-01,3.868e-02,5.872e-01,9.508e-01,2.922e+00,3.094e-01,1.436e+00,2.605e+00,2.006e+00,1.189e+00,8.498e-01,1.931e+00,1.221e+00,2.487e-01
Max Stress 3,Monitor Only, N/m^2,3.211e+08,7.212e+08,6.730e+08,8.737e+08,5.147e+08,4.509e+08,5.507e+08,3.652e+08,4.399e+08,6.214e+08,7.783e+08,5.238e+08,4.920e+08,9.195e+08,1.221e+09,6.578e+08,1.106e+09,4.552e+08,8.074e+08,2.332e+08,3.736e+08,8.523e+08,1.359e+09,6.078e+08,3.392e+08,3.619e+09,9.823e+08,1.719e+09,3.757e+08,3.322e+09,7.246e+08,3.368e+08,1.142e+09,4.636e+08,9.658e+08,1.174e+09,1.269e+09,1.865e+09,7.812e+08,2.216e+09,4.507e+08,8.819e+08,7.588e+08,4.616e+08,7.205e+08,4.734e+08,Simulation Eccentric Stiffness (3) fails.,4.136e+08,3.661e+08,4.660e+09,4.901e+08,9.528e+08,6.826e+08,6.491e+08,6.625e+08,4.309e+08,4.572e+08,4.419e+08,Rebuild Error,9.824e+08,3.452e+08,5.270e+08,5.705e+08,3.541e+08,3.602e+08,6.034e+08,1.189e+10,7.834e+08,4.838e+08,2.831e+08,8.888e+08,5.762e+08,3.177e+08,4.124e+08,2.313e+08,5.413e+08,4.285e+08,6.774e+08,1.849e+09
Mass,Monitor Only, kg,3.67,5.65,2.59,1.98,5.35,3.72,2.9,2.3,3.55,5.17,7.88,7.5,1.85,5.18,2.48,8.03,3.13,2.3,1.93,2.32,6.57,2.26,4.57,3.78,3.12,7.31,7.65,4.25,3.45,7.61,1.41,3.34,2.92,4.13,4.17,2.21,6.45,1.93,6.63,4.84,4.46,1.86,5.37,5.82,7.31,7.89,Simulation Eccentric Stiffness (3) fails.,3.04,2.66,2.77,3.93,4.86,6.47,4.64,8.7,8.8,4.35,2.74,Rebuild Error,3.85,8.49,7.52,9.8,3.01,6.94,7.53,7.3,6.11,4.88,3.68,1.85,2.35,4.98,3.69,3.13,6.07,2.88,5.1,5.1
Dropout X Displacement,Monitor Only, m,-4.131e-03,2.501e-02,4.956e-02,-1.579e-02,-3.743e-03,2.100e-02,4.069e-02,3.001e-02,-8.580e-03,2.517e-02,1.265e-02,1.918e-02,4.726e-02,1.670e-02,6.381e-02,1.485e-02,-9.057e-03,3.853e-02,-1.634e-02,2.094e-02,1.187e-02,1.072e-01,5.098e-02,-6.319e-03,-5.196e-03,2.341e-02,1.232e-02,3.920e-02,1.596e-02,-1.055e-02,-2.412e-02,7.089e-03,2.697e-02,3.494e-02,2.950e-02,-1.667e-02,9.895e-03,-5.656e-03,2.072e-02,3.488e-02,4.452e-02,-1.669e-02,-9.353e-03,1.403e-02,1.308e-02,7.201e-03,Simulation Eccentric Stiffness (3) fails.,-6.506e-03,3.830e-02,-1.965e-02,2.331e-02,2.680e-02,2.289e-02,2.237e-02,3.223e-03,1.287e-02,1.149e-02,4.744e-02,Rebuild Error,2.351e-02,1.073e-02,1.370e-02,1.605e-02,2.361e-02,1.142e-02,2.225e-02,1.976e-02,1.427e-02,1.417e-02,-2.002e-03,4.782e-02,3.847e-02,1.438e-02,2.438e-02,1.123e-02,-5.823e-03,2.721e-02,5.191e-02,4.341e-02
Dropout Y Displacement,Monitor Only, m,7.866e-03,-4.456e-02,-1.025e-01,2.601e-02,6.456e-03,-4.190e-02,-8.742e-02,-5.854e-02,1.079e-02,-4.721e-02,-2.798e-02,-3.557e-02,-1.017e-01,-3.960e-02,-1.146e-01,-3.294e-02,1.518e-02,-7.706e-02,2.695e-02,-3.422e-02,-2.657e-02,-2.201e-01,-1.044e-01,1.288e-02,1.163e-02,-3.439e-02,-2.642e-02,-8.645e-02,-2.471e-02,2.233e-02,4.681e-02,-1.684e-02,-4.709e-02,-6.009e-02,-6.735e-02,2.622e-02,-1.803e-02,6.179e-03,-4.052e-02,-8.007e-02,-8.231e-02,2.757e-02,1.651e-02,-2.703e-02,-2.477e-02,-1.982e-02,Simulation Eccentric Stiffness (3) fails.,1.158e-02,-6.812e-02,3.502e-02,-5.351e-02,-5.162e-02,-4.316e-02,-3.733e-02,-7.486e-03,-2.545e-02,-1.532e-02,-8.491e-02,Rebuild Error,-3.766e-02,-2.640e-02,-2.872e-02,-3.865e-02,-4.629e-02,-2.300e-02,-4.393e-02,-3.661e-02,-4.162e-02,-2.970e-02,8.431e-03,-8.322e-02,-6.322e-02,-3.211e-02,-5.009e-02,-2.423e-02,9.739e-03,-5.499e-02,-1.000e-01,-1.143e-01
BB X Displacement,Monitor Only, m,-4.484e-03,3.034e-02,5.991e-02,-1.529e-02,-4.043e-03,2.591e-02,4.883e-02,3.653e-02,-9.192e-03,2.948e-02,1.538e-02,2.272e-02,5.629e-02,2.056e-02,7.772e-02,1.804e-02,-9.040e-03,4.633e-02,-1.727e-02,2.530e-02,1.367e-02,1.283e-01,5.986e-02,-6.709e-03,-5.652e-03,2.761e-02,1.500e-02,4.820e-02,1.903e-02,-1.113e-02,-2.494e-02,8.720e-03,3.241e-02,4.122e-02,3.473e-02,-1.605e-02,1.236e-02,-4.304e-03,2.491e-02,4.247e-02,5.165e-02,-1.640e-02,-9.744e-03,1.692e-02,1.597e-02,8.928e-03,Simulation Eccentric Stiffness (3) fails.,-7.052e-03,4.555e-02,-2.136e-02,2.784e-02,3.196e-02,2.721e-02,2.628e-02,4.117e-03,1.521e-02,1.379e-02,5.611e-02,Rebuild Error,2.732e-02,1.272e-02,1.650e-02,1.940e-02,2.814e-02,1.393e-02,2.624e-02,2.244e-02,1.714e-02,1.698e-02,-2.489e-03,5.824e-02,4.485e-02,1.749e-02,2.964e-02,1.394e-02,-5.754e-03,3.240e-02,6.061e-02,5.328e-02
BB Y Displacement,Monitor Only, m,3.315e-03,-2.330e-02,-5.689e-02,1.457e-02,4.044e-03,-2.111e-02,-4.875e-02,-3.054e-02,5.467e-03,-2.591e-02,-1.620e-02,-1.910e-02,-5.572e-02,-2.425e-02,-6.481e-02,-1.924e-02,8.372e-03,-4.232e-02,1.413e-02,-1.636e-02,-1.549e-02,-1.213e-01,-6.082e-02,7.392e-03,7.194e-03,-1.663e-02,-1.444e-02,-4.979e-02,-1.077e-02,1.371e-02,2.800e-02,-1.044e-02,-2.203e-02,-2.965e-02,-4.086e-02,1.565e-02,-8.667e-03,3.890e-03,-2.110e-02,-4.797e-02,-4.509e-02,1.525e-02,9.115e-03,-1.410e-02,-1.313e-02,-1.318e-02,Simulation Eccentric Stiffness (3) fails.,7.102e-03,-3.213e-02,2.146e-02,-3.281e-02,-2.791e-02,-2.332e-02,-1.804e-02,-4.212e-03,-1.378e-02,-4.902e-03,-4.142e-02,Rebuild Error,-1.973e-02,-1.575e-02,-1.636e-02,-2.356e-02,-2.493e-02,-1.220e-02,-2.365e-02,-1.344e-02,-2.941e-02,-1.820e-02,4.881e-03,-4.532e-02,-3.522e-02,-1.848e-02,-2.858e-02,-1.228e-02,5.551e-03,-3.068e-02,-5.579e-02,-7.515e-02
BB Z Displacement,Monitor Only, m,8.923e-04,1.981e-03,2.678e-03,5.528e-03,6.817e-04,1.506e-03,2.820e-03,2.633e-03,3.068e-03,1.881e-03,9.195e-04,1.157e-03,4.967e-03,1.681e-03,3.636e-03,6.903e-04,2.560e-03,3.202e-03,2.573e-03,4.018e-03,1.145e-03,4.867e-03,1.609e-03,1.612e-03,1.142e-03,1.090e-03,2.111e-03,2.617e-03,2.103e-03,5.733e-03,4.275e-03,1.430e-03,4.222e-03,1.894e-03,5.425e-03,2.530e-03,8.105e-04,3.255e-03,2.105e-03,1.065e-03,3.656e-04,4.036e-03,1.751e-03,1.199e-03,1.372e-03,1.081e-03,Simulation Eccentric Stiffness (3) fails.,1.552e-03,2.770e-03,2.372e-03,1.177e-03,1.058e-03,1.949e-03,1.548e-03,6.376e-04,4.053e-04,1.180e-03,2.290e-03,Rebuild Error,2.035e-03,7.908e-04,8.011e-04,1.301e-03,2.187e-03,2.123e-03,5.331e-04,2.886e-03,1.395e-03,1.554e-03,1.767e-03,1.525e-03,2.271e-03,1.071e-03,2.888e-03,1.008e-03,7.024e-04,4.330e-03,1.386e-03,2.014e-03
BBR Y Displacement,Monitor Only, m,-2.775e-03,-8.561e-03,-2.120e-02,-2.167e-02,-5.867e-03,-7.765e-03,-1.827e-02,-1.118e-02,-4.977e-03,-9.525e-03,-6.265e-03,-6.996e-03,-2.052e-02,-9.657e-03,-2.484e-02,-7.386e-03,-9.474e-03,-1.583e-02,-1.493e-02,-5.958e-03,-5.882e-03,-4.451e-02,-2.284e-02,-9.325e-03,-1.071e-02,-5.780e-03,-5.391e-03,-1.908e-02,-3.797e-03,-2.066e-02,-3.662e-02,-4.311e-03,-7.872e-03,-1.010e-02,-1.615e-02,-2.136e-02,-3.814e-03,-6.575e-03,-7.729e-03,-1.881e-02,-1.614e-02,-1.638e-02,-1.024e-02,-5.040e-03,-4.868e-03,-5.510e-03,Simulation Eccentric Stiffness (3) fails.,-1.011e-02,-1.088e-02,-4.195e-02,-1.283e-02,-1.028e-02,-8.820e-03,-6.136e-03,-1.618e-03,-5.326e-03,-1.505e-03,-1.411e-02,Rebuild Error,-7.367e-03,-6.133e-03,-6.196e-03,-9.249e-03,-9.107e-03,-4.601e-03,-8.518e-03,4.350e-04,-1.257e-02,-7.267e-03,-8.805e-03,-1.910e-02,-1.317e-02,-7.111e-03,-1.097e-02,-4.457e-03,-6.429e-03,-1.162e-02,-2.065e-02,-3.066e-02
BBL Y Displacement,Monitor Only, m,-2.459e-03,-7.897e-03,-2.033e-02,-1.977e-02,-5.588e-03,-7.228e-03,-1.738e-02,-1.045e-02,-4.041e-03,-8.915e-03,-5.702e-03,-6.656e-03,-1.916e-02,-8.766e-03,-2.287e-02,-7.132e-03,-7.251e-03,-1.484e-02,-1.407e-02,-5.009e-03,-5.496e-03,-4.307e-02,-2.234e-02,-8.666e-03,-1.023e-02,-3.694e-03,-4.250e-03,-1.765e-02,-3.048e-03,-1.969e-02,-3.504e-02,-3.807e-03,-6.474e-03,-9.558e-03,-1.497e-02,-2.024e-02,-3.487e-03,-2.222e-03,-6.995e-03,-1.811e-02,-1.591e-02,-1.418e-02,-9.761e-03,-4.685e-03,-4.456e-03,-5.185e-03,Simulation Eccentric Stiffness (3) fails.,-9.494e-03,-1.003e-02,-4.102e-02,-1.232e-02,-9.888e-03,-8.057e-03,-5.725e-03,-1.365e-03,-5.180e-03,-1.048e-03,-1.344e-02,Rebuild Error,-6.165e-03,-5.843e-03,-5.941e-03,-8.878e-03,-8.468e-03,-4.082e-03,-8.327e-03,2.730e-02,-1.207e-02,-6.784e-03,-8.383e-03,-1.857e-02,-1.238e-02,-6.738e-03,-1.020e-02,-4.178e-03,-6.158e-03,-1.062e-02,-2.012e-02,-2.971e-02
