Design Study 1
Scenarios/Iterations:, 160
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials
SSB Offset,,N/A,0.330039,0.334477,0.335465,0.330063,0.330269,0.331374,0.341916,0.334681,0.334425,0.336268,0.335614,0.333712,0.330284,0.335206,0.333174,0.340405,0.330913,0.336927,0.335111,0.334804,0.334790,0.330104,0.330863,0.335387,0.331687,0.337266,0.336318,0.332172,0.331704,0.333790,0.334756,0.331783,0.332342,0.332995,0.332894,0.330504,0.336291,0.330569,0.337568,0.333923,0.333920,0.334141,0.336481,0.331537,0.331607,0.331051,0.331364,0.331519,0.331774,0.334652,0.331651,0.334605,0.331412,0.332170,0.339762,0.330570,0.335597,0.332879,0.333614,0.331595,0.329819,0.330221,0.330501,0.331984,0.339500,0.329665,0.335461,0.342581,0.332041,0.339381,0.336364,0.332223,0.330605,0.332382,0.331365,0.332545,0.330796,0.331396,0.330028,0.331559,0.331349,0.330882,0.331710,0.330082,0.330542,0.334070,0.329947,0.331766,0.331504,0.331614,0.331454,0.330652,0.329803,0.339622,0.333147,0.331407,0.332135,0.332881,0.342735,0.334053,0.331483,0.332949,0.341142,0.331428,0.330533,0.331763,0.331729,0.331119,0.330297,0.331580,0.336397,0.335331,0.332863,0.335323,0.339635,0.330490,0.331391,0.336507,0.341240,0.331678,0.332321,0.331500,0.331507,0.330539,0.330460,0.331554,0.331740,0.331365,0.343013,0.331584,0.339970,0.331703,0.333531,0.330204,0.330582,0.334524,0.331985,0.331903,0.331609,0.330576,0.330250,0.331503,0.331734,0.331434,0.335272,0.330552,0.332597,0.331477,0.331307,0.331059,0.341333,0.331466,0.329804,0.330523,0.330471,0.331060,0.333755,0.332123,0.341144,0.331673,0.331356
CSB Offset,,N/A,0.299991,0.335574,0.334945,0.324990,0.323478,0.323595,0.304658,0.329689,0.297444,0.350249,0.321213,0.346964,0.328254,0.335163,0.330360,0.320282,0.326103,0.331346,0.321021,0.300944,0.322062,0.333126,0.326039,0.334824,0.320923,0.304806,0.321711,0.324997,0.322500,0.331725,0.329133,0.321349,0.321783,0.321961,0.323205,0.323161,0.290020,0.325989,0.326281,0.338062,0.347461,0.341563,0.318638,0.322471,0.320969,0.323411,0.321701,0.322770,0.320910,0.323007,0.322295,0.319872,0.323024,0.323310,0.301905,0.329326,0.319346,0.321923,0.331399,0.322199,0.331110,0.332870,0.323276,0.322392,0.302803,0.328512,0.335193,0.304084,0.323926,0.298936,0.290139,0.324586,0.328720,0.321883,0.321850,0.323177,0.321175,0.324346,0.326202,0.322597,0.320786,0.321487,0.323262,0.332235,0.324359,0.329966,0.327235,0.322679,0.320805,0.321170,0.324114,0.323104,0.331228,0.305723,0.322676,0.321614,0.323385,0.329668,0.305873,0.350403,0.320078,0.323982,0.307275,0.320524,0.326240,0.321577,0.322096,0.322486,0.324034,0.320719,0.345074,0.321021,0.329587,0.292228,0.304918,0.322335,0.323628,0.321186,0.298799,0.321799,0.321183,0.320623,0.322517,0.324587,0.323927,0.320518,0.322410,0.322555,0.303343,0.321026,0.301903,0.321426,0.321653,0.325173,0.322438,0.342928,0.324094,0.323198,0.323351,0.323666,0.324251,0.324094,0.321846,0.327373,0.308593,0.324624,0.323308,0.323289,0.320976,0.326169,0.299336,0.323988,0.331163,0.321259,0.326296,0.322730,0.322627,0.322259,0.298234,0.321918,0.320222
SS Z,,N/A,0.008965,0.009384,0.009485,0.008401,0.008280,0.008289,0.008833,0.008936,0.008451,0.010534,0.007232,0.009403,0.008698,0.009457,0.008353,0.008907,0.008563,0.009048,0.007198,0.008414,0.007237,0.008814,0.008552,0.009453,0.007729,0.008055,0.007167,0.008399,0.008453,0.008999,0.008948,0.007672,0.008130,0.007379,0.007556,0.008249,0.008386,0.008387,0.009383,0.009376,0.009366,0.009341,0.008389,0.007564,0.007823,0.008140,0.008037,0.007531,0.007713,0.007367,0.007887,0.007085,0.007582,0.008386,0.008296,0.008295,0.006966,0.007386,0.008925,0.007963,0.008708,0.008775,0.008240,0.007937,0.008367,0.008581,0.009485,0.008665,0.008366,0.008152,0.008355,0.007713,0.008311,0.008188,0.007986,0.007589,0.008085,0.008240,0.008445,0.007509,0.008004,0.008114,0.008198,0.008769,0.008217,0.008955,0.008516,0.008442,0.008243,0.007848,0.007972,0.008198,0.008660,0.008345,0.007495,0.007471,0.008404,0.008324,0.008710,0.009411,0.007876,0.007625,0.008648,0.007911,0.008520,0.007730,0.007719,0.008093,0.008343,0.007865,0.008764,0.007178,0.008333,0.008410,0.008348,0.008158,0.008024,0.007069,0.008817,0.007933,0.008328,0.007929,0.008027,0.008325,0.008317,0.007892,0.007908,0.008102,0.008692,0.007923,0.008453,0.007383,0.007336,0.008358,0.008158,0.009403,0.008028,0.008313,0.008023,0.008274,0.008305,0.008332,0.007757,0.008426,0.008512,0.008237,0.007503,0.008085,0.008030,0.008512,0.008798,0.008182,0.008658,0.008112,0.008429,0.008133,0.007385,0.007838,0.008811,0.007909,0.007972
SS Thickness,,N/A,0.004645,0.001705,0.001793,0.001608,0.001643,0.001845,0.000922,0.001200,0.001675,0.002055,0.000536,0.001863,0.001843,0.001798,0.001861,0.001181,0.002214,0.001363,0.000533,0.001641,0.000579,0.001669,0.002150,0.001741,0.001447,0.000380,0.000305,0.002013,0.002230,0.001613,0.001314,0.001350,0.001841,0.000921,0.001132,0.001739,0.001405,0.001830,0.001624,0.001756,0.001981,0.001929,0.001250,0.001309,0.001494,0.001645,0.001650,0.001321,0.001386,0.000784,0.001589,0.000399,0.001403,0.002024,0.000526,0.002329,0.000001,0.000937,0.001476,0.001638,0.001991,0.001649,0.001621,0.001624,0.000666,0.001375,0.001776,0.000521,0.002163,0.000328,0.001383,0.001398,0.002221,0.001902,0.001724,0.001208,0.001643,0.001783,0.001711,0.001293,0.001600,0.001651,0.001900,0.001557,0.001623,0.001446,0.001497,0.002224,0.002195,0.001512,0.001808,0.001778,0.001975,0.000599,0.000999,0.001268,0.002035,0.001897,0.000593,0.001942,0.001520,0.001205,0.000656,0.001568,0.002060,0.001416,0.001422,0.001691,0.001660,0.001506,0.000820,0.000483,0.001902,0.001635,0.000593,0.001695,0.001845,0.000054,0.000994,0.001572,0.002083,0.001546,0.001718,0.001757,0.001711,0.001526,0.001572,0.001738,0.000536,0.001546,0.000646,0.001145,0.000761,0.001656,0.001736,0.001869,0.001676,0.001963,0.001721,0.001720,0.001710,0.002257,0.001457,0.001883,0.001519,0.001636,0.001144,0.001754,0.001626,0.002122,0.000944,0.002008,0.001966,0.001588,0.001764,0.001621,0.000815,0.001487,0.001000,0.001576,0.001567
CS Thickness,,N/A,0.001438,0.000930,0.001073,0.004354,0.003971,0.004344,0.003027,0.001794,0.008834,0.003065,0.003026,0.000878,0.006470,0.001062,0.003392,0.002597,0.005066,0.001496,0.002948,0.008045,0.002811,0.003969,0.005186,0.001048,0.002805,0.009352,0.003046,0.004716,0.005414,0.001674,0.001882,0.002684,0.004284,0.002588,0.002507,0.003863,0.008946,0.003820,0.001542,0.000886,0.001036,0.001069,0.003942,0.002697,0.002858,0.002977,0.002976,0.002666,0.002871,0.002867,0.002799,0.002725,0.002644,0.005309,0.008484,0.002664,0.002689,0.002602,0.001932,0.002870,0.003764,0.004115,0.003421,0.003111,0.007501,0.004128,0.001040,0.004343,0.004287,0.009622,0.009127,0.002638,0.002743,0.004472,0.002954,0.002545,0.003132,0.003370,0.004211,0.002664,0.003054,0.003236,0.003686,0.004301,0.002975,0.001888,0.004128,0.005262,0.004237,0.002894,0.002738,0.003163,0.003144,0.007213,0.002598,0.002710,0.005400,0.003240,0.003566,0.000941,0.002974,0.002517,0.004285,0.002965,0.005059,0.002744,0.002716,0.002987,0.004443,0.002942,0.001891,0.002941,0.003296,0.008837,0.007208,0.003147,0.002833,0.002936,0.003594,0.002913,0.005309,0.002994,0.003005,0.004208,0.004534,0.002982,0.002951,0.003063,0.004027,0.002935,0.007678,0.002619,0.002674,0.003734,0.003136,0.000983,0.002797,0.004655,0.002920,0.004121,0.003859,0.003630,0.002747,0.004098,0.007963,0.002994,0.002575,0.002974,0.003077,0.004701,0.003726,0.003125,0.003149,0.003251,0.004005,0.003078,0.002691,0.002671,0.003749,0.002844,0.003068
TT Thickness,,N/A,0.003707,0.006698,0.006715,0.007416,0.007493,0.006455,0.001715,0.003026,0.001967,0.004693,0.003469,0.007756,0.005483,0.006741,0.004219,0.002170,0.005511,0.003069,0.004004,0.002016,0.004134,0.006869,0.005621,0.006408,0.007054,0.001478,0.003108,0.005347,0.005029,0.003301,0.002992,0.006568,0.005011,0.005671,0.005431,0.007213,0.001782,0.006331,0.004087,0.007214,0.007350,0.006835,0.002289,0.006303,0.006880,0.006541,0.006909,0.006295,0.006795,0.004207,0.006567,0.004897,0.006434,0.005121,0.001463,0.006505,0.004156,0.005698,0.003081,0.006672,0.007434,0.006386,0.006877,0.006234,0.001644,0.008161,0.006727,0.001397,0.004952,0.001444,0.001767,0.005343,0.006448,0.004966,0.007236,0.005448,0.007316,0.006297,0.007504,0.006324,0.007104,0.007135,0.006431,0.006745,0.006827,0.003040,0.007396,0.005024,0.004703,0.006852,0.006646,0.007090,0.007800,0.001689,0.005168,0.006562,0.005141,0.004492,0.001474,0.007643,0.007241,0.005234,0.001673,0.007211,0.006221,0.006613,0.006473,0.006877,0.007150,0.006973,0.003023,0.003937,0.004538,0.001895,0.001689,0.007487,0.006906,0.003107,0.001579,0.006630,0.004536,0.007051,0.006871,0.006583,0.006867,0.007064,0.006540,0.006853,0.001356,0.006872,0.001490,0.006564,0.005183,0.007308,0.007354,0.006931,0.005958,0.005868,0.006511,0.006711,0.007502,0.005518,0.006614,0.005673,0.001997,0.006738,0.005826,0.006602,0.007111,0.005765,0.001542,0.006508,0.007803,0.007437,0.006415,0.006578,0.005015,0.006139,0.001562,0.006608,0.007248
BB Thickness,,m,0.001042,0.00154,0.001725,0.00095277,0.00079637,0.001027,0.001905,0.001368,0.006983,0.003006,0.000689,0.001583,0.001689,0.001713,0.001753,0.001633,0.001855,0.001195,0.0004328,0.006447,0.00056129,0.001739,0.00175,0.001648,0.0001595,0.005182,0.00075982,0.001484,0.00182,0.001596,0.00146,0.00012726,0.001273,0.00015091,0.00036266,0.00088015,0.006044,0.00124,0.001886,0.001547,0.001712,0.001694,0.003117,0.00014702,0.00028848,0.00083193,0.00062703,0.00024532,0.0001275,0.00066815,0.00050147,2.514e-05,0.00025892,0.001492,0.003019,0.001525,2.113e-05,0.00013154,0.001699,0.00059208,0.001812,0.001747,0.00082895,0.00062476,0.002845,0.001081,0.001688,0.001851,0.001782,0.003636,0.006262,0.000542,0.00146,0.001372,0.00057505,0.00033794,0.00057762,0.001013,0.00111,0.00022105,0.00048618,0.00062883,0.001067,0.001634,0.00086087,0.001582,0.001085,0.001818,0.001886,0.00033038,0.00076343,0.00087351,0.001652,0.002786,0.00028054,5.783e-05,0.001505,0.001637,0.00176,0.001641,0.00026631,0.0005028,0.001969,0.00035865,0.00158,0.00021867,0.00025319,0.0007499,0.00090621,0.00030307,0.001477,0.00042666,0.001641,0.00681,0.002766,0.00072276,0.00078792,0.00056298,0.00222,0.00050096,0.001679,0.00038087,0.00067501,0.001048,0.00095063,0.00031741,0.00049707,0.00076179,0.001805,0.00042652,0.002722,4.192e-05,9.407e-05,0.00094957,0.00076509,0.001602,0.00084517,0.001269,0.00074767,0.00093057,0.00089024,0.0018,0.00027963,0.001444,0.00533,0.0009035,0.00035262,0.0008224,0.00052798,0.001675,0.002173,0.001194,0.00164,0.00058166,0.001212,0.00078001,0.00032746,0.00048521,0.00225,0.00050134,0.00039649
HT Thickness,,m,0.003515,0.003016,0.003378,0.002858,0.00293,0.003136,0.003179,0.002134,0.004946,0.003519,0.004226,0.003074,0.003084,0.003268,0.002924,0.003095,0.003691,0.00257,0.003945,0.004156,0.00423,0.002816,0.00361,0.003112,0.002955,0.003139,0.004308,0.00353,0.004357,0.002395,0.002249,0.002847,0.003807,0.003071,0.002895,0.003023,0.003866,0.002981,0.00319,0.003032,0.003097,0.003061,0.002686,0.002991,0.002899,0.002759,0.002873,0.003096,0.002951,0.00384,0.002869,0.003514,0.003041,0.003982,0.003164,0.002941,0.003358,0.003059,0.002256,0.002867,0.002976,0.002765,0.00286,0.003091,0.003042,0.002693,0.003288,0.003759,0.003951,0.003022,0.003853,0.002858,0.002944,0.003899,0.003003,0.002849,0.002946,0.002988,0.002888,0.003108,0.002938,0.002968,0.003359,0.002757,0.002702,0.002294,0.002744,0.004308,0.004249,0.002918,0.002924,0.002995,0.002942,0.003,0.002893,0.003082,0.003983,0.00298,0.003526,0.003092,0.00295,0.002857,0.003103,0.002949,0.003379,0.002875,0.002886,0.002851,0.00297,0.002929,0.002069,0.003909,0.002986,0.004477,0.002991,0.002933,0.002965,0.003981,0.003502,0.002884,0.004395,0.00293,0.00301,0.003014,0.003032,0.002947,0.002964,0.002982,0.003805,0.002881,0.003593,0.003181,0.003016,0.002844,0.002967,0.003045,0.002739,0.003679,0.002949,0.003012,0.002945,0.003878,0.002885,0.003011,0.004173,0.002714,0.003079,0.002946,0.002951,0.003445,0.003438,0.003322,0.00294,0.002905,0.002913,0.002824,0.003097,0.002669,0.003526,0.002857,0.002952
ST Thickness,,N/A,0.002559,0.002801,0.002960,0.012014,0.011741,0.011407,0.000824,0.000900,0.001704,0.009590,0.001971,0.003048,0.012408,0.002951,0.009109,0.001110,0.010585,0.001400,0.002156,0.001577,0.001780,0.010489,0.010947,0.002841,0.008399,0.000091,0.001519,0.010689,0.010596,0.001537,0.001046,0.007194,0.009301,0.002740,0.002878,0.011308,0.001298,0.010589,0.002524,0.002905,0.003026,0.002900,0.000734,0.005598,0.008842,0.009297,0.009557,0.004543,0.008527,0.002155,0.008103,0.002023,0.005069,0.011139,0.000269,0.006827,0.001298,0.002825,0.001199,0.008676,0.009901,0.010693,0.010801,0.009285,0.000310,0.011959,0.002939,0.000366,0.009284,0.000013,0.001271,0.004146,0.007422,0.009604,0.009568,0.003149,0.010706,0.010212,0.011569,0.004381,0.010248,0.010847,0.010391,0.011022,0.009854,0.001212,0.011719,0.010438,0.007939,0.009010,0.007563,0.010486,0.009867,0.000219,0.002898,0.005422,0.011270,0.008686,0.000435,0.003050,0.009992,0.002891,0.000459,0.009832,0.011259,0.007655,0.007133,0.009501,0.011959,0.009511,0.000240,0.002048,0.008810,0.001578,0.000209,0.010737,0.008407,0.001161,0.000908,0.008971,0.010123,0.009925,0.009540,0.011299,0.011857,0.009880,0.008940,0.009879,0.000382,0.009370,0.000445,0.003618,0.002706,0.011461,0.010561,0.002876,0.007626,0.011053,0.008696,0.011378,0.011547,0.008664,0.007651,0.010495,0.001495,0.009894,0.002848,0.009094,0.010341,0.010704,0.000834,0.009301,0.009904,0.011058,0.011065,0.009817,0.002475,0.007099,0.000908,0.008472,0.010504
